id,employeeId,skillset,courseDepartment,status,certification_score
SK147,JMD99,"AWS, Azure, GCP",Cloud,Accept,240
SK148,JMD100,"Next Js, Angular",Development,Reject,0
SK149,JMD100,"GCP, Redis",Cloud,Accept,160
SK150,JMD101,Azure,Cloud,Accept,80
SK151,JMD101,SnowFlake,Data Engineering,Reject,0
SK152,JMD102,"Laravel, Node",Development,Reject,0
SK153,JMD103,"SnowFlake, Python",Data Engineering,Accept,160
SK154,JMD103,"GCP, Redis",Cloud,Accept,160
SK155,JMD104,"Angular, Reactjs",Development,Accept,160
SK156,JMD105,Big Data,Data Science,Reject,0
SK157,JMD105,Azure,Cloud,Reject,0
SK158,JMD106,Python,Data Science,Reject,0
SK159,JMD107,"Azure, GCP, AWS",Cloud,Accept,240
SK160,JMD107,"Python, Applied ML",Data Science,Accept,160
SK161,JMD108,"Python, Applied ML",Data Science,Accept,160
SK162,JMD109,"SnowFlake, Web Scraping, MySQL",Data Engineering,Accept,240
SK163,JMD109,Laravel,Development,Reject,0
SK164,JMD110,Angular,Development,Reject,0
SK165,JMD110,"Azure, AWS",Cloud,Accept,160
SK166,JMD111,"DBT, SnowFlake, Python",Data Engineering,Accept,240
SK167,JMD112,"Azure, Redis, AWS",Cloud,Accept,240
SK168,JMD113,Redis,Cloud,Accept,80
SK169,JMD114,Python,Data Science,Reject,0
SK170,JMD114,DBT,Data Engineering,Reject,0
SK171,JMD115,"Python, DBT, SnowFlake",Data Engineering,Accept,240
SK172,JMD116,"Flutter, Node, Angular",Development,Accept,240
SK173,JMD117,"Data Bricks, DBT, MySQL",Data Engineering,Accept,240
SK174,JMD118,Python,Data Science,Reject,0
SK175,JMD118,"Azure, AWS, GCP",Cloud,Accept,240
SK176,JMD119,"Python, Applied ML, Big Data",Data Science,Accept,240
SK177,JMD119,"SnowFlake, Web Scraping, Python",Data Engineering,Reject,0
SK178,JMD120,"Node, React Native, Angular",Development,Accept,240
SK179,JMD120,MySQL,Data Engineering,Accept,80
SK180,JMD121,"Big Data, Python",Data Science,Accept,160
SK181,JMD121,"Data Bricks, SnowFlake, Web Scraping",Data Engineering,Accept,240
SK182,JMD122,"Flutter, Reactjs, React Native",Development,Accept,240
SK183,JMD123,"Laravel, Reactjs",Development,Reject,0
SK184,JMD124,Python,Data Science,Accept,80
SK185,JMD124,"Reactjs, Angular",Development,Reject,0
SK186,JMD125,Next Js,Development,Accept,80
SK187,JMD126,"Applied ML, Big Data",Data Science,Accept,160
SK188,JMD126,"Web Scraping, DBT",Data Engineering,Accept,160
SK189,JMD127,Angular,Development,Accept,80
SK190,JMD128,"Redis, GCP, AWS",Cloud,Accept,240
SK191,JMD128,Data Bricks,Data Engineering,Reject,0
SK192,JMD129,"Python, Big Data",Data Science,Accept,160
SK193,JMD129,"Flutter, React Native",Development,Accept,160
SK194,JMD130,"MySQL, Data Bricks",Data Engineering,Accept,160
SK195,JMD131,SnowFlake,Data Engineering,Reject,0
SK196,JMD132,"Redis, AWS",Cloud,Accept,160
SK197,JMD132,"Big Data, Applied ML",Data Science,Accept,160
SK198,JMD133,"Python, Web Scraping, Data Bricks",Data Engineering,Accept,240
SK199,JMD133,"Angular, Next Js",Development,Accept,160
SK200,JMD134,Next Js,Development,Accept,80
SK201,JMD134,"GCP, AWS",Cloud,Accept,160
SK202,JMD135,"Python, Big Data, Applied ML",Data Science,Accept,240
SK203,JMD136,"GCP, AWS, Redis",Cloud,Accept,240
SK204,JMD137,"MySQL, Python",Data Engineering,Accept,160
SK205,JMD137,"React Native, Flutter, Next Js",Development,Accept,240
SK206,JMD138,"GCP, Azure, Redis",Cloud,Accept,240
SK207,JMD138,"Applied ML, Big Data",Data Science,Accept,160
SK208,JMD139,Python,Data Science,Reject,0
SK209,JMD139,"Python, DBT",Data Engineering,Reject,0
SK210,JMD140,"Flutter, Angular",Development,Reject,0
SK211,JMD141,"Big Data, Applied ML",Data Science,Accept,160
SK212,JMD141,"DBT, Python",Data Engineering,Reject,0
SK213,JMD142,"DBT, SnowFlake",Data Engineering,Accept,160
SK214,JMD143,"Python, Big Data, Applied ML",Data Science,Accept,240
SK215,JMD144,GCP,Cloud,Accept,80
SK216,JMD144,Applied ML,Data Science,Accept,80
SK217,JMD145,Azure,Cloud,Accept,80
SK218,JMD145,"Big Data, Python",Data Science,Accept,160
SK219,JMD146,"GCP, Azure",Cloud,Accept,160
SK220,JMD147,"Applied ML, Python, Big Data",Data Science,Reject,0
SK221,JMD148,"Azure, Redis",Cloud,Accept,160
SK222,JMD148,"Data Bricks, DBT, Python",Data Engineering,Accept,240
SK223,JMD149,"Python, Applied ML, Big Data",Data Science,Accept,240
SK224,JMD150,"Python, Big Data, Applied ML",Data Science,Accept,240
SK225,JMD151,"Azure, Redis",Cloud,Reject,0
SK226,JMD152,"Python, Data Bricks, SnowFlake",Data Engineering,Accept,240
SK227,JMD153,Data Bricks,Data Engineering,Accept,80
SK228,JMD153,"Laravel, Reactjs, Next Js",Development,Accept,240
SK229,JMD154,"Azure, GCP, AWS",Cloud,Reject,0
SK230,JMD154,"Big Data, Python, Applied ML",Data Science,Accept,240
SK231,JMD155,"SnowFlake, DBT",Data Engineering,Accept,160
SK232,JMD156,"Big Data, Python, Applied ML",Data Science,Accept,240
SK233,JMD157,Data Bricks,Data Engineering,Reject,0
SK234,JMD158,Python,Data Science,Accept,80
SK235,JMD159,"Flutter, Laravel, Next Js",Development,Accept,240
SK236,JMD160,"React Native, Laravel, Node",Development,Accept,240
SK237,JMD160,"Big Data, Python",Data Science,Accept,160
SK238,JMD161,"GCP, Azure, AWS",Cloud,Reject,0
SK239,JMD162,Big Data,Data Science,Accept,80
SK240,JMD163,AWS,Cloud,Reject,0
SK241,JMD164,"Laravel, Angular",Development,Accept,160
SK242,JMD165,Applied ML,Data Science,Reject,0
SK243,JMD165,"DBT, Web Scraping",Data Engineering,Accept,160
SK244,JMD166,"GCP, AWS, Azure",Cloud,Accept,240
SK245,JMD166,"Python, Applied ML, Big Data",Data Science,Accept,240
SK246,JMD167,"Big Data, Python",Data Science,Accept,160
SK247,JMD167,Next Js,Development,Accept,80
SK248,JMD168,"Node, Flutter",Development,Reject,0
SK249,JMD169,"Next Js, Node",Development,Accept,160
SK250,JMD169,"DBT, SnowFlake, Web Scraping",Data Engineering,Reject,0
SK251,JMD170,"GCP, AWS, Redis",Cloud,Accept,240
SK252,JMD170,Python,Data Engineering,Reject,0
SK253,JMD171,Next Js,Development,Reject,0
SK254,JMD171,"Data Bricks, SnowFlake, Web Scraping",Data Engineering,Accept,240
SK255,JMD172,"GCP, Redis",Cloud,Reject,0
SK256,JMD172,"DBT, Web Scraping",Data Engineering,Reject,0
SK257,JMD173,"AWS, Azure",Cloud,Reject,0
SK258,JMD173,Laravel,Development,Accept,80
SK259,JMD174,"Redis, AWS",Cloud,Accept,160
SK260,JMD175,"Data Bricks, Python",Data Engineering,Reject,0
SK261,JMD175,Azure,Cloud,Accept,80
SK262,JMD176,"React Native, Next Js",Development,Accept,160
SK263,JMD176,Python,Data Engineering,Reject,0
SK264,JMD177,"Laravel, React Native, Node",Development,Accept,240
SK265,JMD178,"Python, DBT",Data Engineering,Reject,0
SK266,JMD178,"React Native, Next Js, Laravel",Development,Accept,240
SK267,JMD179,"Reactjs, Node, Angular",Development,Accept,240
SK268,JMD180,Flutter,Development,Accept,80
SK269,JMD180,"AWS, Redis",Cloud,Accept,160
SK270,JMD181,"Next Js, Node",Development,Reject,0
SK271,JMD182,GCP,Cloud,Reject,0
SK272,JMD182,"Web Scraping, Data Bricks, SnowFlake",Data Engineering,Accept,240
SK273,JMD183,"Next Js, React Native, Laravel",Development,Accept,240
SK274,JMD184,Redis,Cloud,Accept,80
SK275,JMD184,"Big Data, Applied ML",Data Science,Accept,160
SK276,JMD185,"Big Data, Python, Applied ML",Data Science,Accept,240
SK277,JMD185,"Python, Data Bricks",Data Engineering,Reject,0
SK278,JMD186,"Redis, AWS, GCP",Cloud,Accept,240
SK279,JMD187,"Python, Big Data, Applied ML",Data Science,Accept,240
SK280,JMD188,GCP,Cloud,Reject,0
SK281,JMD188,"Python, Applied ML, Big Data",Data Science,Accept,240
SK282,JMD189,"Applied ML, Big Data",Data Science,Accept,160
SK283,JMD189,Azure,Cloud,Reject,0
SK284,JMD190,"Web Scraping, Python, MySQL",Data Engineering,Accept,240
SK285,JMD191,"DBT, Data Bricks",Data Engineering,Accept,160
SK286,JMD192,"Laravel, Node, Flutter",Development,Accept,240
SK287,JMD193,"Python, SnowFlake",Data Engineering,Accept,160
SK288,JMD194,React Native,Development,Reject,0
SK289,JMD194,"Web Scraping, Data Bricks, Python",Data Engineering,Accept,240
SK290,JMD195,"React Native, Next Js, Reactjs",Development,Accept,240
SK291,JMD195,"Big Data, Applied ML, Python",Data Science,Accept,240
SK292,JMD196,"Web Scraping, Data Bricks, SnowFlake",Data Engineering,Reject,0
SK293,JMD197,"SnowFlake, DBT",Data Engineering,Accept,160
SK294,JMD198,"DBT, Data Bricks, Python",Data Engineering,Accept,240
SK295,JMD198,"Python, Big Data, Applied ML",Data Science,Accept,240
SK296,JMD199,"Big Data, Python, Applied ML",Data Science,Accept,240
SK297,JMD200,"AWS, GCP, Azure",Cloud,Accept,240
SK298,JMD201,"MySQL, SnowFlake",Data Engineering,Accept,160
SK299,JMD202,"Angular, Node",Development,Reject,0
SK300,JMD203,"Python, Applied ML",Data Science,Accept,160
SK301,JMD203,"AWS, Redis",Cloud,Accept,160
SK302,JMD204,GCP,Cloud,Reject,0
SK303,JMD205,"Laravel, React Native",Development,Reject,0
SK304,JMD205,"AWS, Azure",Cloud,Accept,160
SK305,JMD206,"Web Scraping, Data Bricks",Data Engineering,Accept,160
SK306,JMD206,"Reactjs, Node, Next Js",Development,Accept,240
SK307,JMD207,"Flutter, Laravel, Next Js",Development,Accept,240
SK308,JMD208,"GCP, Redis, AWS",Cloud,Accept,240
SK309,JMD208,Angular,Development,Reject,0
SK310,JMD209,"Redis, Azure",Cloud,Accept,160
SK311,JMD209,"Applied ML, Python, Big Data",Data Science,Accept,240
SK312,JMD210,"SnowFlake, DBT",Data Engineering,Accept,160
SK313,JMD210,"Next Js, Angular, React Native",Development,Accept,240
SK314,JMD211,"DBT, Python",Data Engineering,Accept,160
SK315,JMD212,"GCP, Azure, AWS",Cloud,Accept,240
SK316,JMD213,"MySQL, Python, DBT",Data Engineering,Accept,240
SK317,JMD213,"Big Data, Python",Data Science,Accept,160
SK318,JMD214,"Redis, GCP",Cloud,Accept,160
SK319,JMD214,"React Native, Node, Next Js",Development,Accept,240
SK320,JMD215,Web Scraping,Data Engineering,Reject,0
SK321,JMD215,"Applied ML, Python",Data Science,Accept,160
SK322,JMD216,"Applied ML, Big Data",Data Science,Reject,0
SK323,JMD216,"Data Bricks, Python",Data Engineering,Accept,160
SK324,JMD217,"Azure, AWS, GCP",Cloud,Accept,240
SK325,JMD218,Azure,Cloud,Reject,0
SK326,JMD218,SnowFlake,Data Engineering,Accept,80
SK327,JMD219,"Applied ML, Python",Data Science,Accept,160
SK328,JMD219,"Node, Reactjs",Development,Accept,160
SK329,JMD220,"Node, Next Js",Development,Accept,160
SK330,JMD221,"DBT, Python, SnowFlake",Data Engineering,Accept,240
SK331,JMD221,Flutter,Development,Reject,0
SK332,JMD222,"Applied ML, Big Data, Python",Data Science,Accept,240
SK333,JMD223,"Python, Data Bricks",Data Engineering,Accept,160
SK334,JMD223,"Next Js, Angular, Flutter",Development,Accept,240
SK335,JMD224,"DBT, Web Scraping",Data Engineering,Reject,0
SK336,JMD224,"Laravel, Flutter",Development,Accept,160
SK337,JMD225,DBT,Data Engineering,Accept,80
SK338,JMD225,"Applied ML, Big Data",Data Science,Reject,0
SK339,JMD226,DBT,Data Engineering,Accept,80
SK340,JMD226,Redis,Cloud,Accept,80
SK341,JMD227,Redis,Cloud,Reject,0
SK342,JMD227,"Python, SnowFlake",Data Engineering,Accept,160
SK343,JMD228,Web Scraping,Data Engineering,Reject,0
SK344,JMD228,"Applied ML, Python, Big Data",Data Science,Accept,240
SK345,JMD229,"Python, Applied ML, Big Data",Data Science,Accept,240
SK346,JMD229,"Data Bricks, SnowFlake",Data Engineering,Accept,160
SK347,JMD230,"Redis, GCP",Cloud,Accept,160
SK348,JMD231,Big Data,Data Science,Reject,0
SK349,JMD231,"AWS, GCP",Cloud,Accept,160
SK350,JMD232,Python,Data Engineering,Accept,80
SK351,JMD233,Redis,Cloud,Reject,0
SK352,JMD234,"DBT, Data Bricks, Python",Data Engineering,Accept,240
SK353,JMD235,Data Bricks,Data Engineering,Accept,80
SK354,JMD236,"Azure, GCP, AWS",Cloud,Accept,240
SK355,JMD236,"MySQL, SnowFlake, DBT",Data Engineering,Reject,0
SK356,JMD237,"AWS, Redis, GCP",Cloud,Accept,240
SK357,JMD237,"Big Data, Applied ML",Data Science,Accept,160
SK358,JMD238,"Redis, GCP",Cloud,Accept,160
SK359,JMD239,"AWS, Redis",Cloud,Accept,160
SK360,JMD239,"Web Scraping, Python",Data Engineering,Accept,160
SK361,JMD240,GCP,Cloud,Accept,80
SK362,JMD240,"Flutter, Next Js",Development,Reject,0
SK363,JMD241,"GCP, AWS",Cloud,Accept,160
SK364,JMD242,"SnowFlake, Python, Data Bricks",Data Engineering,Accept,240
SK365,JMD242,Python,Data Science,Accept,80
SK366,JMD243,"Redis, GCP, AWS",Cloud,Accept,240
SK367,JMD243,Web Scraping,Data Engineering,Accept,80
SK368,JMD244,MySQL,Data Engineering,Reject,0
SK369,JMD245,Applied ML,Data Science,Accept,80
SK370,JMD245,"React Native, Node, Flutter",Development,Accept,240
SK371,JMD246,"Reactjs, Angular, Flutter",Development,Accept,240
SK372,JMD246,"Python, SnowFlake, Web Scraping",Data Engineering,Accept,240
SK373,JMD247,"Laravel, Next Js, React Native",Development,Accept,240
SK374,JMD248,"Python, Big Data, Applied ML",Data Science,Reject,0
SK375,JMD248,"Next Js, Reactjs, Flutter",Development,Reject,0
SK376,JMD249,"Flutter, Angular, Laravel",Development,Accept,240
SK377,JMD250,"DBT, Data Bricks",Data Engineering,Reject,0
SK378,JMD251,"Laravel, Node, Next Js",Development,Accept,240
SK379,JMD252,"Azure, GCP, Redis",Cloud,Accept,240
SK380,JMD253,"Applied ML, Python",Data Science,Accept,160
SK381,JMD254,"MySQL, DBT",Data Engineering,Accept,160
SK382,JMD254,"Next Js, Reactjs, React Native",Development,Accept,240
SK383,JMD255,SnowFlake,Data Engineering,Accept,80
SK384,JMD255,Redis,Cloud,Accept,80
SK385,JMD256,"GCP, Azure",Cloud,Accept,160
SK386,JMD256,"DBT, Data Bricks",Data Engineering,Reject,0
SK387,JMD257,"DBT, Python",Data Engineering,Reject,0
SK388,JMD258,"Reactjs, Next Js, Angular",Development,Accept,240
SK389,JMD258,Python,Data Science,Reject,0
SK390,JMD259,"Data Bricks, DBT, Python",Data Engineering,Accept,240
SK391,JMD260,"Node, Flutter",Development,Reject,0
SK392,JMD261,Python,Data Science,Reject,0
SK393,JMD261,Azure,Cloud,Accept,80
SK394,JMD262,Web Scraping,Data Engineering,Reject,0
SK395,JMD263,"Web Scraping, MySQL, SnowFlake",Data Engineering,Accept,240
SK396,JMD263,"Reactjs, Angular",Development,Accept,160
SK397,JMD264,Flutter,Development,Reject,0
SK398,JMD264,Python,Data Science,Reject,0
SK399,JMD265,"SnowFlake, Web Scraping, MySQL",Data Engineering,Accept,240
SK400,JMD265,"Azure, GCP",Cloud,Accept,160
SK401,JMD266,"Node, React Native, Next Js",Development,Accept,240
SK402,JMD266,"Python, Big Data",Data Science,Accept,160
SK403,JMD267,"Data Bricks, Web Scraping, Python",Data Engineering,Accept,240
SK404,JMD267,"Reactjs, Next Js",Development,Accept,160
SK405,JMD268,"Azure, AWS",Cloud,Accept,160
SK406,JMD268,"Applied ML, Python",Data Science,Accept,160
SK407,JMD269,"DBT, Python",Data Engineering,Accept,160
SK408,JMD269,"Azure, AWS, Redis",Cloud,Accept,240
SK409,JMD270,"AWS, GCP, Redis",Cloud,Accept,240
SK410,JMD270,"Web Scraping, Python",Data Engineering,Accept,160
SK411,JMD271,"DBT, Python, MySQL",Data Engineering,Accept,240
SK412,JMD272,"Applied ML, Big Data, Python",Data Science,Accept,240
SK413,JMD273,"Reactjs, Laravel",Development,Reject,0
SK414,JMD274,MySQL,Data Engineering,Accept,80
SK415,JMD275,"Python, Applied ML, Big Data",Data Science,Accept,240
SK416,JMD276,"Azure, GCP, Redis",Cloud,Reject,0
SK417,JMD277,"Python, Big Data, Applied ML",Data Science,Accept,240
SK418,JMD278,"Big Data, Python",Data Science,Accept,160
SK419,JMD278,"DBT, Web Scraping, Data Bricks",Data Engineering,Reject,0
SK420,JMD279,"Python, Big Data",Data Science,Accept,160
SK421,JMD280,"Python, Applied ML",Data Science,Accept,160
SK422,JMD281,Node,Development,Reject,0
SK423,JMD282,"Laravel, Reactjs",Development,Reject,0
SK424,JMD282,AWS,Cloud,Accept,80
SK425,JMD283,"Applied ML, Python",Data Science,Accept,160
SK426,JMD284,Applied ML,Data Science,Accept,80
SK427,JMD284,"Flutter, Angular, Reactjs",Development,Accept,240
SK428,JMD285,"Redis, Azure",Cloud,Reject,0
SK429,JMD285,DBT,Data Engineering,Accept,80
SK430,JMD286,Data Bricks,Data Engineering,Accept,80
SK431,JMD287,"Big Data, Applied ML, Python",Data Science,Accept,240
SK432,JMD287,"Next Js, React Native, Angular",Development,Accept,240
SK433,JMD288,AWS,Cloud,Accept,80
SK434,JMD288,"React Native, Next Js, Flutter",Development,Accept,240
SK435,JMD289,"Python, Applied ML",Data Science,Reject,0
SK436,JMD290,"Azure, AWS, GCP",Cloud,Accept,240
SK437,JMD290,MySQL,Data Engineering,Accept,80
SK438,JMD291,"Big Data, Python, Applied ML",Data Science,Accept,240
SK439,JMD291,"Next Js, Reactjs, Node",Development,Accept,240
SK440,JMD292,GCP,Cloud,Reject,0
SK441,JMD293,Python,Data Science,Accept,80
SK442,JMD294,"GCP, Redis",Cloud,Accept,160
SK443,JMD294,Next Js,Development,Accept,80
SK444,JMD295,"Data Bricks, Web Scraping",Data Engineering,Accept,160
SK445,JMD295,"Angular, React Native",Development,Accept,160
SK446,JMD296,"Python, Applied ML",Data Science,Accept,160
SK447,JMD297,"Big Data, Applied ML, Python",Data Science,Reject,0
SK448,JMD297,"Node, Flutter",Development,Accept,160
SK449,JMD298,"Angular, Flutter",Development,Reject,0
SK450,JMD299,AWS,Cloud,Reject,0
SK451,JMD299,"MySQL, Python, Data Bricks",Data Engineering,Accept,240
SK452,JMD300,"MySQL, SnowFlake",Data Engineering,Reject,0
SK453,JMD300,"GCP, Azure",Cloud,Reject,0
SK454,JMD301,"Big Data, Python, Applied ML",Data Science,Accept,240
SK455,JMD302,MySQL,Data Engineering,Reject,0
SK456,JMD303,SnowFlake,Data Engineering,Accept,80
SK457,JMD304,Angular,Development,Accept,80
