id,employeeId,courseName,certificationLink,skills,courseDepartment,status,certificationDate
CERT73,JMD22,Redis,http://jackson.net/,Redis,Cloud,Accept,2023-09-20
CERT74,JMD22,Azure,https://www.nunez-gay.com/,Azure,Cloud,Accept,2023-06-30
CERT75,JMD22,AWS,https://sanders.com/,AWS,Cloud,Accept,2023-04-07
CERT76,JMD23,Python,http://www.edwards.info/,Python,Data Engineering,Accept,2023-05-15
CERT77,JMD24,Python,http://petersen-daniels.com/,Python,Data Science,Accept,2023-12-07
CERT78,JMD25,Reactjs,https://www.george-thomas.com/,Reactjs,Development,Reject,2023-09-08
CERT79,JMD25,React Native,https://nunez.com/,React Native,Development,Accept,2024-06-15
CERT80,JMD25,MySQL,http://www.nelson.info/,MySQL,Data Engineering,Reject,2024-06-27
CERT81,JMD25,Python,https://www.andrews.info/,Python,Data Engineering,Reject,2023-03-29
CERT82,JMD25,DBT,https://wolfe.com/,DBT,Data Engineering,Accept,2022-11-04
CERT83,JMD26,DBT,http://www.snow.com/,DBT,Data Engineering,Reject,2023-07-09
CERT84,JMD26,Python,http://www.dickerson.com/,Python,Data Engineering,Reject,2023-05-26
CERT85,JMD26,SnowFlake,https://robinson.com/,SnowFlake,Data Engineering,Accept,2023-07-09
CERT86,JMD27,Node,http://morris.com/,Node,Development,Accept,2024-07-03
CERT87,JMD28,Big Data,https://weiss.net/,Big Data,Data Science,Accept,2024-01-25
CERT88,JMD29,Azure,https://www.gonzales.com/,Azure,Cloud,Accept,2023-12-12
CERT89,JMD29,Redis,https://www.johnson-ramirez.info/,Redis,Cloud,Accept,2023-02-04
CERT90,JMD29,GCP,http://www.wilson-kelly.com/,GCP,Cloud,Reject,2024-03-07
CERT91,JMD30,Applied ML,http://www.henry-jackson.com/,Applied ML,Data Science,Accept,2022-11-27
CERT92,JMD30,Redis,https://www.flores.com/,Redis,Cloud,Accept,2024-07-26
CERT93,JMD30,Azure,http://frazier.info/,Azure,Cloud,Accept,2022-10-11
CERT94,JMD31,Flutter,http://pham.biz/,Flutter,Development,Reject,2022-11-02
CERT95,JMD32,Python,http://www.reyes.com/,Python,Data Engineering,Reject,2023-09-12
CERT96,JMD32,Web Scraping,http://www.berry.com/,Web Scraping,Data Engineering,Accept,2023-08-11
CERT97,JMD32,DBT,https://www.blackburn-ortiz.com/,DBT,Data Engineering,Reject,2023-07-30
CERT98,JMD32,Node,http://www.simmons.net/,Node,Development,Reject,2023-08-21
CERT99,JMD32,Angular,https://hunter-graves.info/,Angular,Development,Reject,2023-10-01
CERT100,JMD32,Flutter,http://www.ross-harrison.com/,Flutter,Development,Reject,2023-11-09
CERT101,JMD33,Next Js,http://howard.com/,Next Js,Development,Reject,2023-02-18
CERT102,JMD33,Angular,http://www.tanner.com/,Angular,Development,Accept,2023-11-27
CERT103,JMD33,Flutter,https://hunt.com/,Flutter,Development,Reject,2024-04-17
CERT104,JMD34,Azure,https://goodwin.org/,Azure,Cloud,Reject,2024-09-12
CERT105,JMD34,Angular,http://www.dalton.com/,Angular,Development,Reject,2023-06-02
CERT106,JMD34,Laravel,https://www.rose-yang.com/,Laravel,Development,Accept,2023-09-13
CERT107,JMD34,Flutter,http://www.atkins-farley.com/,Flutter,Development,Reject,2022-10-29
CERT108,JMD35,Python,http://best.com/,Python,Data Engineering,Reject,2024-03-26
CERT109,JMD35,Web Scraping,https://www.williams.com/,Web Scraping,Data Engineering,Accept,2023-04-12
CERT110,JMD35,GCP,http://www.sanders.biz/,GCP,Cloud,Accept,2024-09-27
CERT111,JMD35,AWS,http://baker.com/,AWS,Cloud,Reject,2023-05-13
CERT112,JMD35,Redis,http://baird.com/,Redis,Cloud,Reject,2023-03-29
CERT113,JMD36,Python,https://kennedy-davis.com/,Python,Data Science,Reject,2023-03-07
CERT114,JMD36,Applied ML,https://www.johnston-parker.org/,Applied ML,Data Science,Reject,2023-01-03
CERT115,JMD37,Applied ML,https://lynn-yoder.info/,Applied ML,Data Science,Accept,2024-09-14
CERT116,JMD37,Big Data,https://www.burns.org/,Big Data,Data Science,Accept,2023-05-20
CERT117,JMD37,Python,http://www.castro-ochoa.net/,Python,Data Science,Accept,2024-02-02
CERT118,JMD38,GCP,https://brooks-reed.biz/,GCP,Cloud,Reject,2023-05-14
CERT119,JMD38,Web Scraping,http://www.wolfe.com/,Web Scraping,Data Engineering,Accept,2024-03-13
CERT120,JMD38,MySQL,https://lynch-bell.info/,MySQL,Data Engineering,Accept,2023-10-26
CERT121,JMD39,Data Bricks,http://olsen.info/,Data Bricks,Data Engineering,Accept,2023-03-13
CERT122,JMD39,DBT,http://www.rich.com/,DBT,Data Engineering,Reject,2023-03-10
CERT123,JMD39,Big Data,http://riggs-montgomery.com/,Big Data,Data Science,Accept,2023-08-05
CERT124,JMD39,Applied ML,http://www.harris.com/,Applied ML,Data Science,Accept,2024-09-21
CERT125,JMD40,Big Data,https://www.ramsey-bowers.biz/,Big Data,Data Science,Accept,2024-06-23
CERT126,JMD40,Applied ML,https://www.jennings.com/,Applied ML,Data Science,Reject,2024-10-02
CERT127,JMD41,Azure,http://www.odom.com/,Azure,Cloud,Reject,2024-03-25
CERT128,JMD42,AWS,https://www.livingston.com/,AWS,Cloud,Reject,2023-03-21
CERT129,JMD43,Applied ML,https://www.daniels.com/,Applied ML,Data Science,Reject,2024-01-10
CERT130,JMD43,Reactjs,https://cuevas.com/,Reactjs,Development,Reject,2024-09-09
CERT131,JMD43,Next Js,http://www.hunter-johnson.com/,Next Js,Development,Reject,2022-10-31
CERT132,JMD43,Angular,http://www.nguyen-walker.com/,Angular,Development,Accept,2022-12-29
CERT133,JMD44,Redis,http://walker.org/,Redis,Cloud,Accept,2022-11-12
CERT134,JMD44,AWS,https://www.huff.com/,AWS,Cloud,Reject,2024-02-19
CERT135,JMD44,Azure,https://ramirez-boone.com/,Azure,Cloud,Reject,2023-10-31
CERT136,JMD44,SnowFlake,https://www.lester-hernandez.com/,SnowFlake,Data Engineering,Accept,2023-12-04
CERT137,JMD44,Python,http://rogers.org/,Python,Data Engineering,Accept,2023-10-21
CERT138,JMD44,DBT,http://conrad.com/,DBT,Data Engineering,Reject,2023-06-26
CERT139,JMD45,Big Data,http://thompson.com/,Big Data,Data Science,Reject,2023-02-11
CERT140,JMD45,Web Scraping,https://www.garcia-garcia.com/,Web Scraping,Data Engineering,Accept,2023-07-03
CERT141,JMD45,MySQL,http://anderson.biz/,MySQL,Data Engineering,Accept,2023-04-21
CERT142,JMD46,Python,http://www.ramirez-dennis.com/,Python,Data Science,Accept,2023-09-09
CERT143,JMD47,React Native,http://www.galvan.org/,React Native,Development,Reject,2023-10-29
CERT144,JMD47,Angular,https://www.lewis.info/,Angular,Development,Reject,2023-07-22
CERT145,JMD47,Python,https://www.thompson-willis.biz/,Python,Data Science,Accept,2024-09-08
CERT146,JMD48,Web Scraping,https://mckenzie.com/,Web Scraping,Data Engineering,Accept,2024-05-08
CERT147,JMD48,Angular,http://www.pruitt.com/,Angular,Development,Reject,2023-05-12
CERT148,JMD48,Reactjs,https://www.richards.com/,Reactjs,Development,Accept,2024-02-25
CERT149,JMD48,Flutter,https://shaw.info/,Flutter,Development,Accept,2023-02-10
CERT150,JMD49,Azure,https://haney-phillips.com/,Azure,Cloud,Reject,2022-10-22
CERT151,JMD49,AWS,https://www.cook-morton.com/,AWS,Cloud,Reject,2022-10-28
CERT152,JMD49,Redis,https://phillips-schmitt.com/,Redis,Cloud,Accept,2023-07-09
CERT153,JMD50,AWS,http://duke.org/,AWS,Cloud,Accept,2024-03-07
CERT154,JMD50,Redis,http://www.houston.org/,Redis,Cloud,Accept,2023-06-25
CERT155,JMD50,GCP,https://gregory.info/,GCP,Cloud,Reject,2023-03-19
CERT156,JMD51,DBT,http://www.ramirez.com/,DBT,Data Engineering,Reject,2024-02-01
CERT157,JMD52,Applied ML,http://gonzalez.com/,Applied ML,Data Science,Accept,2024-08-23
CERT158,JMD53,Flutter,http://simpson.com/,Flutter,Development,Accept,2023-03-04
CERT159,JMD53,Angular,http://www.hernandez.org/,Angular,Development,Accept,2024-04-22
CERT160,JMD53,Node,https://www.nguyen.biz/,Node,Development,Accept,2023-12-17
CERT161,JMD54,Angular,http://www.carter.com/,Angular,Development,Accept,2022-12-04
CERT162,JMD54,Laravel,http://glover.com/,Laravel,Development,Accept,2022-12-02
CERT163,JMD54,Flutter,https://www.matthews-wilson.com/,Flutter,Development,Reject,2022-10-25
CERT164,JMD55,GCP,https://www.williams.com/,GCP,Cloud,Accept,2023-05-02
CERT165,JMD55,Redis,http://www.martin.com/,Redis,Cloud,Reject,2024-06-03
CERT166,JMD56,Angular,https://carney.org/,Angular,Development,Accept,2023-05-21
CERT167,JMD56,Node,https://www.morales-murphy.org/,Node,Development,Reject,2022-10-09
CERT168,JMD57,MySQL,http://www.jones.com/,MySQL,Data Engineering,Accept,2022-12-01
CERT169,JMD57,Python,http://douglas.net/,Python,Data Engineering,Reject,2024-07-02
CERT170,JMD57,SnowFlake,http://tucker.com/,SnowFlake,Data Engineering,Reject,2023-05-04
CERT171,JMD58,Laravel,http://spencer.org/,Laravel,Development,Reject,2022-12-21
CERT172,JMD58,Node,http://www.chavez-evans.com/,Node,Development,Reject,2024-06-30
CERT173,JMD58,Next Js,https://everett.org/,Next Js,Development,Reject,2023-09-06
CERT174,JMD58,Azure,http://www.nelson-parker.com/,Azure,Cloud,Reject,2024-06-04
CERT175,JMD58,GCP,https://wright.com/,GCP,Cloud,Accept,2024-08-02
CERT176,JMD58,Redis,https://www.ross-ruiz.info/,Redis,Cloud,Reject,2023-11-03
CERT177,JMD59,SnowFlake,https://www.sanchez.com/,SnowFlake,Data Engineering,Reject,2023-02-02
CERT178,JMD59,AWS,https://rodgers.com/,AWS,Cloud,Accept,2024-02-25
CERT179,JMD60,Applied ML,https://flores-cameron.com/,Applied ML,Data Science,Reject,2023-10-31
CERT180,JMD60,Python,http://www.richards.com/,Python,Data Science,Reject,2024-06-15
CERT181,JMD60,Big Data,https://cervantes.biz/,Big Data,Data Science,Accept,2023-04-22
CERT182,JMD60,GCP,http://parrish.net/,GCP,Cloud,Reject,2022-12-25
CERT183,JMD60,AWS,https://www.ramos-ross.com/,AWS,Cloud,Accept,2023-10-12
CERT184,JMD61,AWS,http://www.kim-thomas.com/,AWS,Cloud,Accept,2024-08-05
CERT185,JMD61,Redis,https://mills.com/,Redis,Cloud,Reject,2023-06-15
CERT186,JMD62,Next Js,http://york.info/,Next Js,Development,Reject,2024-07-23
CERT187,JMD62,Laravel,http://www.lopez.com/,Laravel,Development,Accept,2022-11-08
CERT188,JMD62,AWS,http://chandler.com/,AWS,Cloud,Reject,2023-07-22
CERT189,JMD63,Laravel,https://www.sawyer.com/,Laravel,Development,Reject,2023-08-04
CERT190,JMD63,Node,https://martinez-velazquez.biz/,Node,Development,Accept,2023-10-29
CERT191,JMD64,Node,https://palmer.org/,Node,Development,Reject,2023-11-29
CERT192,JMD64,Next Js,http://www.johnson.org/,Next Js,Development,Reject,2023-01-05
CERT193,JMD64,Reactjs,https://brock-daugherty.com/,Reactjs,Development,Accept,2024-03-17
CERT194,JMD65,Azure,https://www.golden.com/,Azure,Cloud,Reject,2022-12-14
CERT195,JMD65,GCP,http://romero-kirby.info/,GCP,Cloud,Accept,2022-10-25
CERT196,JMD65,Reactjs,http://wagner-smith.com/,Reactjs,Development,Reject,2024-03-26
CERT197,JMD66,Data Bricks,https://www.bowen.com/,Data Bricks,Data Engineering,Reject,2022-11-26
CERT198,JMD66,Applied ML,http://hill.com/,Applied ML,Data Science,Accept,2024-05-23
CERT199,JMD66,Big Data,http://www.mason.net/,Big Data,Data Science,Accept,2023-05-04
CERT200,JMD66,Python,https://www.hodges.com/,Python,Data Science,Reject,2023-04-22
CERT201,JMD67,Python,https://moore.com/,Python,Data Engineering,Accept,2022-12-10
CERT202,JMD67,Data Bricks,http://www.chavez.com/,Data Bricks,Data Engineering,Accept,2023-04-17
CERT203,JMD67,MySQL,https://www.harrison.info/,MySQL,Data Engineering,Accept,2023-02-23
CERT204,JMD68,MySQL,https://cobb.com/,MySQL,Data Engineering,Reject,2023-05-29
CERT205,JMD68,Data Bricks,https://lee.com/,Data Bricks,Data Engineering,Accept,2023-09-19
CERT206,JMD69,Data Bricks,https://www.wright-hart.info/,Data Bricks,Data Engineering,Reject,2024-08-23
CERT207,JMD69,Web Scraping,https://joseph.com/,Web Scraping,Data Engineering,Accept,2023-03-07
CERT208,JMD69,GCP,http://www.mcclain-long.info/,GCP,Cloud,Reject,2023-06-10
CERT209,JMD69,Azure,http://www.black-dominguez.biz/,Azure,Cloud,Reject,2023-02-05
CERT210,JMD70,Python,https://nielsen.org/,Python,Data Science,Reject,2024-08-25
CERT211,JMD70,GCP,https://patterson.org/,GCP,Cloud,Reject,2024-07-16
CERT212,JMD71,Big Data,http://www.watts-adams.com/,Big Data,Data Science,Accept,2023-09-09
CERT213,JMD71,Python,https://kirby.com/,Python,Data Science,Accept,2023-07-20
CERT214,JMD71,AWS,https://smith.biz/,AWS,Cloud,Reject,2023-03-26
CERT215,JMD71,Azure,https://anderson.com/,Azure,Cloud,Reject,2024-02-01
CERT216,JMD72,Azure,http://bowman.com/,Azure,Cloud,Reject,2023-02-19
CERT217,JMD72,AWS,http://russell.com/,AWS,Cloud,Accept,2024-07-05
CERT218,JMD73,Data Bricks,http://tanner.com/,Data Bricks,Data Engineering,Reject,2023-07-24
CERT219,JMD73,DBT,http://www.freeman.biz/,DBT,Data Engineering,Accept,2023-03-20
CERT220,JMD73,SnowFlake,https://www.davis.com/,SnowFlake,Data Engineering,Reject,2023-07-31
CERT221,JMD74,Laravel,https://wilson.com/,Laravel,Development,Reject,2024-06-03
CERT222,JMD74,Python,https://erickson.biz/,Python,Data Engineering,Reject,2024-02-11
CERT223,JMD75,Python,http://romero-ramirez.com/,Python,Data Science,Reject,2023-04-09
CERT224,JMD75,Applied ML,http://www.simpson.com/,Applied ML,Data Science,Reject,2023-04-24
CERT225,JMD76,Python,https://www.cox.org/,Python,Data Science,Accept,2023-11-06
CERT226,JMD76,Big Data,https://www.davis-werner.com/,Big Data,Data Science,Accept,2023-08-27
CERT227,JMD76,Web Scraping,http://howard.com/,Web Scraping,Data Engineering,Reject,2022-10-14
CERT228,JMD76,DBT,http://wilson.com/,DBT,Data Engineering,Reject,2023-06-27
CERT229,JMD77,Reactjs,http://www.roman.com/,Reactjs,Development,Accept,2023-05-01
CERT230,JMD77,Angular,http://www.french-davis.net/,Angular,Development,Accept,2023-02-14
CERT231,JMD78,Laravel,http://www.schultz.net/,Laravel,Development,Accept,2023-05-03
CERT232,JMD78,Reactjs,http://wolfe.com/,Reactjs,Development,Reject,2024-03-19
CERT233,JMD78,Flutter,http://ramos.com/,Flutter,Development,Reject,2023-11-22
CERT234,JMD79,SnowFlake,https://www.torres.com/,SnowFlake,Data Engineering,Accept,2024-08-30
CERT235,JMD79,Python,https://www.ramirez.com/,Python,Data Engineering,Accept,2023-11-12
CERT236,JMD80,Redis,http://johnson.com/,Redis,Cloud,Accept,2023-05-24
CERT237,JMD80,Azure,http://rodriguez.biz/,Azure,Cloud,Accept,2024-06-11
CERT238,JMD81,Python,https://www.thomas.org/,Python,Data Engineering,Reject,2023-10-12
CERT239,JMD81,Web Scraping,https://www.davis.net/,Web Scraping,Data Engineering,Accept,2023-10-13
CERT240,JMD81,Data Bricks,https://knight.org/,Data Bricks,Data Engineering,Reject,2023-09-01
CERT241,JMD81,Node,https://lin.com/,Node,Development,Accept,2023-02-23
CERT242,JMD82,Python,https://www.williams-hall.net/,Python,Data Engineering,Accept,2022-11-02
CERT243,JMD83,GCP,https://moore-bryant.com/,GCP,Cloud,Reject,2024-01-28
CERT244,JMD83,Python,https://www.miller.com/,Python,Data Science,Accept,2023-10-28
CERT245,JMD83,Applied ML,http://simpson.com/,Applied ML,Data Science,Accept,2024-06-04
CERT246,JMD83,Big Data,https://www.liu.net/,Big Data,Data Science,Accept,2024-09-25
CERT247,JMD84,SnowFlake,https://lambert-little.com/,SnowFlake,Data Engineering,Reject,2023-01-13
CERT248,JMD84,MySQL,http://www.arroyo.org/,MySQL,Data Engineering,Accept,2023-12-01
CERT249,JMD84,DBT,https://moore.org/,DBT,Data Engineering,Accept,2024-04-17
CERT250,JMD84,AWS,https://miller-murray.com/,AWS,Cloud,Accept,2024-02-08
CERT251,JMD84,Azure,http://johnson.com/,Azure,Cloud,Accept,2023-01-09
CERT252,JMD84,Redis,http://anderson-vega.net/,Redis,Cloud,Reject,2022-10-27
CERT253,JMD85,GCP,https://simpson.com/,GCP,Cloud,Accept,2024-02-23
CERT254,JMD85,Redis,https://richardson.com/,Redis,Cloud,Accept,2023-09-06
CERT255,JMD85,AWS,https://www.strong-long.com/,AWS,Cloud,Reject,2023-12-16
CERT256,JMD86,AWS,https://www.joseph-foster.com/,AWS,Cloud,Accept,2023-02-14
CERT257,JMD86,Redis,https://jones.info/,Redis,Cloud,Accept,2023-08-05
CERT258,JMD87,DBT,http://ramos.biz/,DBT,Data Engineering,Reject,2024-04-01
CERT259,JMD87,Data Bricks,http://benson-aguilar.org/,Data Bricks,Data Engineering,Accept,2023-06-29
CERT260,JMD87,MySQL,https://www.morales-mcclure.com/,MySQL,Data Engineering,Accept,2023-08-16
CERT261,JMD87,Applied ML,https://www.douglas.org/,Applied ML,Data Science,Reject,2024-06-28
CERT262,JMD87,Big Data,https://pitts.com/,Big Data,Data Science,Reject,2024-01-07
CERT263,JMD88,Next Js,http://www.eaton.biz/,Next Js,Development,Accept,2023-01-28
CERT264,JMD88,Flutter,https://www.hamilton.biz/,Flutter,Development,Accept,2022-11-09
CERT265,JMD88,Big Data,http://marshall.com/,Big Data,Data Science,Reject,2023-03-20
CERT266,JMD88,Applied ML,http://www.robinson.info/,Applied ML,Data Science,Accept,2024-07-31
CERT267,JMD89,GCP,http://morgan-gonzalez.com/,GCP,Cloud,Accept,2024-02-10
CERT268,JMD89,Azure,http://www.johnson.org/,Azure,Cloud,Reject,2024-02-07
CERT269,JMD89,Reactjs,http://martin-bernard.biz/,Reactjs,Development,Reject,2023-07-31
CERT270,JMD89,Next Js,http://flores.info/,Next Js,Development,Accept,2023-05-04
CERT271,JMD90,Data Bricks,http://www.alexander.com/,Data Bricks,Data Engineering,Accept,2024-04-12
CERT272,JMD90,MySQL,https://mcknight.biz/,MySQL,Data Engineering,Reject,2023-12-28
CERT273,JMD90,Azure,http://www.collins-garcia.com/,Azure,Cloud,Reject,2023-04-19
CERT274,JMD90,AWS,https://www.grant-andrews.com/,AWS,Cloud,Accept,2024-02-13
CERT275,JMD91,Reactjs,https://www.jimenez-poole.com/,Reactjs,Development,Accept,2023-12-02
CERT276,JMD91,Node,http://rodriguez-skinner.info/,Node,Development,Reject,2023-10-12
CERT277,JMD92,Web Scraping,http://www.lawson.org/,Web Scraping,Data Engineering,Accept,2024-01-10
CERT278,JMD92,DBT,https://duffy.com/,DBT,Data Engineering,Reject,2023-11-18
CERT279,JMD93,React Native,http://www.rice.com/,React Native,Development,Reject,2023-06-28
CERT280,JMD93,Reactjs,http://www.brooks-collins.org/,Reactjs,Development,Reject,2023-10-03
CERT281,JMD93,Azure,http://hayes-miller.net/,Azure,Cloud,Accept,2023-09-02
CERT282,JMD93,Redis,http://www.clark-mccoy.com/,Redis,Cloud,Reject,2024-06-30
CERT283,JMD94,Web Scraping,https://patterson.com/,Web Scraping,Data Engineering,Reject,2024-03-26
CERT284,JMD94,MySQL,https://www.brock-johnson.info/,MySQL,Data Engineering,Accept,2023-06-02
CERT285,JMD94,Python,https://mendoza.com/,Python,Data Engineering,Accept,2023-01-10
CERT286,JMD95,Flutter,https://www.rodriguez-walters.com/,Flutter,Development,Accept,2023-12-12
CERT287,JMD95,Laravel,http://www.blair.com/,Laravel,Development,Reject,2023-07-23
CERT288,JMD96,Redis,https://www.escobar.com/,Redis,Cloud,Accept,2024-05-04
CERT289,JMD96,GCP,http://www.mitchell-gonzalez.com/,GCP,Cloud,Reject,2024-08-07
CERT290,JMD96,Flutter,http://garcia.com/,Flutter,Development,Accept,2023-06-15
CERT291,JMD96,React Native,http://www.howard.info/,React Native,Development,Accept,2024-03-26
CERT292,JMD96,Laravel,http://www.foley.com/,Laravel,Development,Accept,2023-01-16
CERT293,JMD97,Reactjs,https://www.stewart.info/,Reactjs,Development,Accept,2024-03-03
CERT294,JMD97,Azure,https://black.com/,Azure,Cloud,Reject,2023-03-19
CERT295,JMD97,Redis,http://www.sandoval-davis.com/,Redis,Cloud,Reject,2024-07-13
CERT296,JMD98,GCP,http://stein.org/,GCP,Cloud,Accept,2023-07-10
CERT297,JMD99,Laravel,https://adkins.org/,Laravel,Development,Reject,2023-12-12
CERT298,JMD99,Node,https://www.mueller-green.com/,Node,Development,Reject,2024-03-05
CERT299,JMD99,AWS,http://www.williams.com/,AWS,Cloud,Reject,2023-11-05
CERT300,JMD99,Azure,http://www.marshall.com/,Azure,Cloud,Reject,2023-09-05
