id,employeeId,courseName,skills,courseDepartment,certificationLink,status
CERT135,JMD44,Azure,Azure,Cloud,https://ramirez-boone.com/,Reject
CERT138,JMD44,DBT,DBT,Data Engineering,http://conrad.com/,Reject
CERT139,JMD45,Big Data,Big Data,Data Science,http://thompson.com/,Reject
CERT143,JMD47,React Native,React Native,Development,http://www.galvan.org/,Reject
CERT144,JMD47,Angular,Angular,Development,https://www.lewis.info/,Reject
CERT147,JMD48,Angular,Angular,Development,http://www.pruitt.com/,Reject
CERT150,JMD49,Azure,Azure,Cloud,https://haney-phillips.com/,Reject
CERT151,JMD49,AWS,AWS,Cloud,https://www.cook-morton.com/,Reject
CERT155,JMD50,GCP,GCP,Cloud,https://gregory.info/,Reject
CERT156,JMD51,DBT,DBT,Data Engineering,http://www.ramirez.com/,Reject
CERT163,JMD54,Flutter,Flutter,Development,https://www.matthews-wilson.com/,Reject
CERT165,JMD55,Redis,Redis,Cloud,http://www.martin.com/,Reject
CERT167,JMD56,Node,Node,Development,https://www.morales-murphy.org/,Reject
CERT169,JMD57,Python,Python,Data Engineering,http://douglas.net/,Reject
CERT170,JMD57,SnowFlake,SnowFlake,Data Engineering,http://tucker.com/,Reject
CERT171,JMD58,Laravel,Laravel,Development,http://spencer.org/,Reject
CERT172,JMD58,Node,Node,Development,http://www.chavez-evans.com/,Reject
CERT173,JMD58,Next Js,Next Js,Development,https://everett.org/,Reject
CERT174,JMD58,Azure,Azure,Cloud,http://www.nelson-parker.com/,Reject
CERT176,JMD58,Redis,Redis,Cloud,https://www.ross-ruiz.info/,Reject
CERT177,JMD59,SnowFlake,SnowFlake,Data Engineering,https://www.sanchez.com/,Reject
CERT179,JMD60,Applied ML,Applied ML,Data Science,https://flores-cameron.com/,Reject
CERT180,JMD60,Python,Python,Data Science,http://www.richards.com/,Reject
CERT182,JMD60,GCP,GCP,Cloud,http://parrish.net/,Reject
CERT185,JMD61,Redis,Redis,Cloud,https://mills.com/,Reject
CERT186,JMD62,Next Js,Next Js,Development,http://york.info/,Reject
CERT188,JMD62,AWS,AWS,Cloud,http://chandler.com/,Reject
CERT189,JMD63,Laravel,Laravel,Development,https://www.sawyer.com/,Reject
CERT191,JMD64,Node,Node,Development,https://palmer.org/,Reject
CERT192,JMD64,Next Js,Next Js,Development,http://www.johnson.org/,Reject
CERT194,JMD65,Azure,Azure,Cloud,https://www.golden.com/,Reject
CERT196,JMD65,Reactjs,Reactjs,Development,http://wagner-smith.com/,Reject
CERT197,JMD66,Data Bricks,Data Bricks,Data Engineering,https://www.bowen.com/,Reject
CERT200,JMD66,Python,Python,Data Science,https://www.hodges.com/,Reject
CERT204,JMD68,MySQL,MySQL,Data Engineering,https://cobb.com/,Reject
CERT206,JMD69,Data Bricks,Data Bricks,Data Engineering,https://www.wright-hart.info/,Reject
CERT208,JMD69,GCP,GCP,Cloud,http://www.mcclain-long.info/,Reject
CERT209,JMD69,Azure,Azure,Cloud,http://www.black-dominguez.biz/,Reject
CERT210,JMD70,Python,Python,Data Science,https://nielsen.org/,Reject
CERT211,JMD70,GCP,GCP,Cloud,https://patterson.org/,Reject
CERT214,JMD71,AWS,AWS,Cloud,https://smith.biz/,Reject
CERT215,JMD71,Azure,Azure,Cloud,https://anderson.com/,Reject
CERT216,JMD72,Azure,Azure,Cloud,http://bowman.com/,Reject
CERT218,JMD73,Data Bricks,Data Bricks,Data Engineering,http://tanner.com/,Reject
CERT220,JMD73,SnowFlake,SnowFlake,Data Engineering,https://www.davis.com/,Reject
CERT221,JMD74,Laravel,Laravel,Development,https://wilson.com/,Reject
CERT222,JMD74,Python,Python,Data Engineering,https://erickson.biz/,Reject
CERT223,JMD75,Python,Python,Data Science,http://romero-ramirez.com/,Reject
CERT224,JMD75,Applied ML,Applied ML,Data Science,http://www.simpson.com/,Reject
CERT227,JMD76,Web Scraping,Web Scraping,Data Engineering,http://howard.com/,Reject
CERT228,JMD76,DBT,DBT,Data Engineering,http://wilson.com/,Reject
CERT232,JMD78,Reactjs,Reactjs,Development,http://wolfe.com/,Reject
CERT233,JMD78,Flutter,Flutter,Development,http://ramos.com/,Reject
CERT238,JMD81,Python,Python,Data Engineering,https://www.thomas.org/,Reject
CERT240,JMD81,Data Bricks,Data Bricks,Data Engineering,https://knight.org/,Reject
CERT243,JMD83,GCP,GCP,Cloud,https://moore-bryant.com/,Reject
CERT247,JMD84,SnowFlake,SnowFlake,Data Engineering,https://lambert-little.com/,Reject
CERT252,JMD84,Redis,Redis,Cloud,http://anderson-vega.net/,Reject
CERT255,JMD85,AWS,AWS,Cloud,https://www.strong-long.com/,Reject
CERT258,JMD87,DBT,DBT,Data Engineering,http://ramos.biz/,Reject
CERT261,JMD87,Applied ML,Applied ML,Data Science,https://www.douglas.org/,Reject
CERT262,JMD87,Big Data,Big Data,Data Science,https://pitts.com/,Reject
CERT265,JMD88,Big Data,Big Data,Data Science,http://marshall.com/,Reject
CERT268,JMD89,Azure,Azure,Cloud,http://www.johnson.org/,Reject
CERT269,JMD89,Reactjs,Reactjs,Development,http://martin-bernard.biz/,Reject
CERT272,JMD90,MySQL,MySQL,Data Engineering,https://mcknight.biz/,Reject
CERT273,JMD90,Azure,Azure,Cloud,http://www.collins-garcia.com/,Reject
CERT276,JMD91,Node,Node,Development,http://rodriguez-skinner.info/,Reject
CERT278,JMD92,DBT,DBT,Data Engineering,https://duffy.com/,Reject
CERT279,JMD93,React Native,React Native,Development,http://www.rice.com/,Reject
CERT280,JMD93,Reactjs,Reactjs,Development,http://www.brooks-collins.org/,Reject
CERT282,JMD93,Redis,Redis,Cloud,http://www.clark-mccoy.com/,Reject
CERT283,JMD94,Web Scraping,Web Scraping,Data Engineering,https://patterson.com/,Reject
CERT287,JMD95,Laravel,Laravel,Development,http://www.blair.com/,Reject
CERT289,JMD96,GCP,GCP,Cloud,http://www.mitchell-gonzalez.com/,Reject
CERT294,JMD97,Azure,Azure,Cloud,https://black.com/,Reject
CERT295,JMD97,Redis,Redis,Cloud,http://www.sandoval-davis.com/,Reject
CERT297,JMD99,Laravel,Laravel,Development,https://adkins.org/,Reject
CERT298,JMD99,Node,Node,Development,https://www.mueller-green.com/,Reject
CERT299,JMD99,AWS,AWS,Cloud,http://www.williams.com/,Reject
CERT300,JMD99,Azure,Azure,Cloud,http://www.marshall.com/,Reject
CERT302,JMD100,Next Js,Next Js,Development,http://www.lara-summers.com/,Reject
CERT303,JMD100,Angular,Angular,Development,http://www.chapman-cole.com/,Reject
CERT305,JMD100,Redis,Redis,Cloud,http://www.wood.biz/,Reject
CERT307,JMD101,SnowFlake,SnowFlake,Data Engineering,https://www.conway.biz/,Reject
CERT308,JMD102,Laravel,Laravel,Development,http://www.evans-yates.org/,Reject
CERT309,JMD102,Node,Node,Development,https://www.campbell.biz/,Reject
CERT312,JMD103,GCP,GCP,Cloud,https://fowler.com/,Reject
CERT314,JMD104,Angular,Angular,Development,https://www.thompson-gillespie.com/,Reject
CERT316,JMD105,Big Data,Big Data,Data Science,https://www.wright.com/,Reject
CERT317,JMD105,Azure,Azure,Cloud,http://white.info/,Reject
CERT318,JMD106,Python,Python,Data Science,http://www.valdez.com/,Reject
CERT319,JMD107,Azure,Azure,Cloud,http://www.jones.com/,Reject
CERT323,JMD107,Applied ML,Applied ML,Data Science,http://www.hudson.com/,Reject
CERT324,JMD108,Python,Python,Data Science,http://www.phillips-ramirez.com/,Reject
CERT326,JMD109,SnowFlake,SnowFlake,Data Engineering,http://www.newton-payne.info/,Reject
CERT329,JMD109,Laravel,Laravel,Development,http://french-wells.biz/,Reject
CERT330,JMD110,Angular,Angular,Development,https://www.ryan.com/,Reject
CERT331,JMD110,Azure,Azure,Cloud,http://www.curry-pierce.com/,Reject
CERT333,JMD111,DBT,DBT,Data Engineering,https://www.jackson.com/,Reject
CERT334,JMD111,SnowFlake,SnowFlake,Data Engineering,https://www.potter.info/,Reject
CERT340,JMD114,Python,Python,Data Science,https://mccormick-duran.com/,Reject
CERT341,JMD114,DBT,DBT,Data Engineering,https://www.pratt.com/,Reject
CERT343,JMD115,DBT,DBT,Data Engineering,https://norton-wyatt.com/,Reject
CERT345,JMD116,Flutter,Flutter,Development,https://www.rodriguez-sanchez.net/,Reject
CERT347,JMD116,Angular,Angular,Development,https://harper.org/,Reject
CERT348,JMD117,Data Bricks,Data Bricks,Data Engineering,http://blake.com/,Reject
CERT349,JMD117,DBT,DBT,Data Engineering,https://smith-pennington.info/,Reject
CERT351,JMD118,Python,Python,Data Science,http://johnson.info/,Reject
CERT354,JMD118,GCP,GCP,Cloud,https://carter.com/,Reject
CERT355,JMD119,Python,Python,Data Science,https://dalton.com/,Reject
CERT357,JMD119,Big Data,Big Data,Data Science,http://www.miles.org/,Reject
CERT358,JMD119,SnowFlake,SnowFlake,Data Engineering,https://www.jones-patel.com/,Reject
CERT359,JMD119,Web Scraping,Web Scraping,Data Engineering,https://williams.com/,Reject
CERT360,JMD119,Python,Python,Data Engineering,https://villarreal.org/,Reject
CERT361,JMD120,Node,Node,Development,https://lopez.com/,Reject
CERT365,JMD121,Big Data,Big Data,Data Science,https://gibson-ramos.com/,Reject
CERT367,JMD121,Data Bricks,Data Bricks,Data Engineering,https://www.brennan.com/,Reject
CERT369,JMD121,Web Scraping,Web Scraping,Data Engineering,https://www.hays.org/,Reject
CERT370,JMD122,Flutter,Flutter,Development,http://anderson.info/,Reject
CERT372,JMD122,React Native,React Native,Development,http://www.white-liu.biz/,Reject
CERT373,JMD123,Laravel,Laravel,Development,http://www.porter.com/,Reject
CERT374,JMD123,Reactjs,Reactjs,Development,http://kennedy-hill.com/,Reject
CERT376,JMD124,Reactjs,Reactjs,Development,http://lozano-miller.com/,Reject
CERT377,JMD124,Angular,Angular,Development,http://www.jefferson-foster.info/,Reject
CERT387,JMD128,Data Bricks,Data Bricks,Data Engineering,http://keller.net/,Reject
CERT393,JMD130,Data Bricks,Data Bricks,Data Engineering,http://www.bowen.net/,Reject
CERT394,JMD131,SnowFlake,SnowFlake,Data Engineering,http://morrison.com/,Reject
CERT396,JMD132,AWS,AWS,Cloud,http://williamson.com/,Reject
CERT397,JMD132,Big Data,Big Data,Data Science,http://www.salazar.org/,Reject
CERT399,JMD133,Python,Python,Data Engineering,https://www.robinson.net/,Reject
CERT401,JMD133,Data Bricks,Data Bricks,Data Engineering,https://morales-davidson.com/,Reject
CERT403,JMD133,Next Js,Next Js,Development,http://garza.biz/,Reject
CERT405,JMD134,GCP,GCP,Cloud,https://www.walker-figueroa.com/,Reject
CERT415,JMD137,React Native,React Native,Development,http://www.scott.net/,Reject
CERT417,JMD137,Next Js,Next Js,Development,https://www.james.info/,Reject
CERT419,JMD138,Azure,Azure,Cloud,http://singleton-moore.com/,Reject
CERT420,JMD138,Redis,Redis,Cloud,https://knight.com/,Reject
CERT423,JMD139,Python,Python,Data Science,http://pham-berry.info/,Reject
CERT424,JMD139,Python,Python,Data Engineering,https://king.com/,Reject
CERT425,JMD139,DBT,DBT,Data Engineering,https://www.robinson.org/,Reject
CERT426,JMD140,Flutter,Flutter,Development,https://www.robinson.com/,Reject
CERT427,JMD140,Angular,Angular,Development,http://mcfarland.com/,Reject
CERT428,JMD141,Big Data,Big Data,Data Science,https://www.brewer-shelton.biz/,Reject
CERT430,JMD141,DBT,DBT,Data Engineering,http://www.reyes-figueroa.com/,Reject
CERT431,JMD141,Python,Python,Data Engineering,https://www.walker-evans.info/,Reject
CERT433,JMD142,SnowFlake,SnowFlake,Data Engineering,http://hicks.com/,Reject
CERT444,JMD147,Applied ML,Applied ML,Data Science,https://phillips-jones.biz/,Reject
CERT445,JMD147,Python,Python,Data Science,http://www.reed.biz/,Reject
CERT446,JMD147,Big Data,Big Data,Data Science,https://gardner.com/,Reject
CERT447,JMD148,Azure,Azure,Cloud,https://www.vasquez.com/,Reject
CERT453,JMD149,Applied ML,Applied ML,Data Science,https://aguirre.com/,Reject
CERT454,JMD149,Big Data,Big Data,Data Science,http://www.perkins.com/,Reject
CERT458,JMD151,Azure,Azure,Cloud,https://martin-owens.com/,Reject
CERT459,JMD151,Redis,Redis,Cloud,https://bell.info/,Reject
CERT460,JMD152,Python,Python,Data Engineering,http://bowers.com/,Reject
CERT466,JMD153,Next Js,Next Js,Development,https://www.miller.biz/,Reject
CERT467,JMD154,Azure,Azure,Cloud,https://www.anderson.info/,Reject
CERT468,JMD154,GCP,GCP,Cloud,http://www.lindsey.biz/,Reject
CERT469,JMD154,AWS,AWS,Cloud,http://www.ramirez.com/,Reject
CERT470,JMD154,Big Data,Big Data,Data Science,http://www.tran.info/,Reject
CERT472,JMD154,Applied ML,Applied ML,Data Science,http://www.gonzalez.biz/,Reject
CERT475,JMD156,Big Data,Big Data,Data Science,https://gonzalez.com/,Reject
CERT477,JMD156,Applied ML,Applied ML,Data Science,https://chang-martin.net/,Reject
CERT478,JMD157,Data Bricks,Data Bricks,Data Engineering,https://www.garrison.biz/,Reject
CERT482,JMD159,Next Js,Next Js,Development,http://hawkins.com/,Reject
CERT483,JMD160,React Native,React Native,Development,http://franklin.com/,Reject
CERT487,JMD160,Python,Python,Data Science,http://cunningham-parks.com/,Reject
CERT488,JMD161,GCP,GCP,Cloud,https://diaz-berg.info/,Reject
CERT489,JMD161,Azure,Azure,Cloud,http://www.houston.com/,Reject
CERT490,JMD161,AWS,AWS,Cloud,https://allen.net/,Reject
CERT492,JMD163,AWS,AWS,Cloud,http://johnson.com/,Reject
CERT493,JMD164,Laravel,Laravel,Development,http://www.trevino.net/,Reject
CERT495,JMD165,Applied ML,Applied ML,Data Science,http://www.martinez-friedman.com/,Reject
CERT497,JMD165,Web Scraping,Web Scraping,Data Engineering,http://www.wade.com/,Reject
CERT499,JMD166,AWS,AWS,Cloud,http://www.cuevas.com/,Reject
CERT500,JMD166,Azure,Azure,Cloud,http://smith-esparza.biz/,Reject
CERT501,JMD166,Python,Python,Data Science,http://www.shaffer.org/,Reject
CERT502,JMD166,Applied ML,Applied ML,Data Science,http://www.bullock.com/,Reject
CERT505,JMD167,Python,Python,Data Science,https://garcia.net/,Reject
CERT507,JMD168,Node,Node,Development,https://ayers.info/,Reject
CERT508,JMD168,Flutter,Flutter,Development,http://jackson.com/,Reject
CERT510,JMD169,Node,Node,Development,http://www.adkins-cox.com/,Reject
CERT511,JMD169,DBT,DBT,Data Engineering,https://www.davis-allen.com/,Reject
CERT512,JMD169,SnowFlake,SnowFlake,Data Engineering,https://nelson.com/,Reject
CERT513,JMD169,Web Scraping,Web Scraping,Data Engineering,http://www.smith-lawson.com/,Reject
CERT516,JMD170,Redis,Redis,Cloud,http://www.perez-davila.com/,Reject
CERT517,JMD170,Python,Python,Data Engineering,https://www.durham-watson.biz/,Reject
CERT518,JMD171,Next Js,Next Js,Development,https://russell-cooper.info/,Reject
CERT520,JMD171,SnowFlake,SnowFlake,Data Engineering,http://castro-fitzpatrick.info/,Reject
CERT521,JMD171,Web Scraping,Web Scraping,Data Engineering,https://www.huang.com/,Reject
CERT522,JMD172,GCP,GCP,Cloud,http://gibson.net/,Reject
CERT523,JMD172,Redis,Redis,Cloud,https://mckinney.info/,Reject
CERT524,JMD172,DBT,DBT,Data Engineering,https://howe.info/,Reject
CERT525,JMD172,Web Scraping,Web Scraping,Data Engineering,https://brown.com/,Reject
CERT526,JMD173,AWS,AWS,Cloud,http://hubbard.info/,Reject
CERT527,JMD173,Azure,Azure,Cloud,https://www.walton.com/,Reject
CERT530,JMD174,AWS,AWS,Cloud,http://www.dunlap.com/,Reject
CERT531,JMD175,Data Bricks,Data Bricks,Data Engineering,https://rice.info/,Reject
CERT532,JMD175,Python,Python,Data Engineering,https://www.martin-herrera.info/,Reject
CERT535,JMD176,Next Js,Next Js,Development,http://www.collier.com/,Reject
CERT536,JMD176,Python,Python,Data Engineering,https://pope-sanchez.info/,Reject
CERT537,JMD177,Laravel,Laravel,Development,https://garcia.com/,Reject
CERT538,JMD177,React Native,React Native,Development,http://www.alvarez.com/,Reject
CERT540,JMD178,Python,Python,Data Engineering,http://www.anderson.com/,Reject
CERT541,JMD178,DBT,DBT,Data Engineering,https://macdonald.com/,Reject
CERT542,JMD178,React Native,React Native,Development,http://cook.info/,Reject
CERT544,JMD178,Laravel,Laravel,Development,https://www.carter-smith.com/,Reject
CERT545,JMD179,Reactjs,Reactjs,Development,http://www.rogers.com/,Reject
CERT547,JMD179,Angular,Angular,Development,https://www.monroe-reynolds.org/,Reject
CERT549,JMD180,AWS,AWS,Cloud,https://king-clark.net/,Reject
CERT551,JMD181,Next Js,Next Js,Development,http://www.norton-merritt.info/,Reject
CERT552,JMD181,Node,Node,Development,http://dean.net/,Reject
CERT553,JMD182,GCP,GCP,Cloud,https://davis-thomas.com/,Reject
CERT554,JMD182,Web Scraping,Web Scraping,Data Engineering,http://rice-hart.com/,Reject
CERT556,JMD182,SnowFlake,SnowFlake,Data Engineering,http://www.garcia.com/,Reject
CERT565,JMD185,Applied ML,Applied ML,Data Science,http://pitts.com/,Reject
CERT566,JMD185,Python,Python,Data Engineering,https://ray.com/,Reject
CERT567,JMD185,Data Bricks,Data Bricks,Data Engineering,https://www.stokes.com/,Reject
CERT569,JMD186,AWS,AWS,Cloud,https://taylor.com/,Reject
CERT570,JMD186,GCP,GCP,Cloud,http://www.flowers-graves.com/,Reject
CERT573,JMD187,Applied ML,Applied ML,Data Science,https://www.walters-williams.com/,Reject
CERT574,JMD188,GCP,GCP,Cloud,http://www.king.net/,Reject
CERT578,JMD189,Applied ML,Applied ML,Data Science,https://allison.com/,Reject
CERT580,JMD189,Azure,Azure,Cloud,https://www.wilson.net/,Reject
CERT588,JMD192,Flutter,Flutter,Development,https://tucker-alvarez.com/,Reject
CERT589,JMD193,Python,Python,Data Engineering,http://www.robinson.com/,Reject
CERT591,JMD194,React Native,React Native,Development,https://www.kim.com/,Reject
CERT595,JMD195,React Native,React Native,Development,https://www.cook-oneal.com/,Reject
CERT597,JMD195,Reactjs,Reactjs,Development,https://www.carter.com/,Reject
CERT599,JMD195,Applied ML,Applied ML,Data Science,https://www.sanchez-barrett.com/,Reject
CERT600,JMD195,Python,Python,Data Science,http://www.jones-brooks.com/,Reject
CERT601,JMD196,Web Scraping,Web Scraping,Data Engineering,http://www.adams.com/,Reject
CERT602,JMD196,Data Bricks,Data Bricks,Data Engineering,http://www.ingram-wade.com/,Reject
CERT603,JMD196,SnowFlake,SnowFlake,Data Engineering,https://www.wood.net/,Reject
CERT605,JMD197,DBT,DBT,Data Engineering,https://www.perry-wright.com/,Reject
CERT607,JMD198,Data Bricks,Data Bricks,Data Engineering,https://barber-bautista.com/,Reject
CERT610,JMD198,Big Data,Big Data,Data Science,https://www.scott.com/,Reject
CERT611,JMD198,Applied ML,Applied ML,Data Science,http://flores.com/,Reject
CERT614,JMD199,Applied ML,Applied ML,Data Science,https://coleman-edwards.org/,Reject
CERT615,JMD200,AWS,AWS,Cloud,https://www.arellano.com/,Reject
CERT620,JMD202,Angular,Angular,Development,http://hoffman.com/,Reject
CERT621,JMD202,Node,Node,Development,http://www.thomas-reed.com/,Reject
CERT626,JMD204,GCP,GCP,Cloud,http://anderson-shaw.com/,Reject
CERT627,JMD205,Laravel,Laravel,Development,http://thornton.com/,Reject
CERT628,JMD205,React Native,React Native,Development,http://spears.com/,Reject
CERT629,JMD205,AWS,AWS,Cloud,https://www.watson.com/,Reject
CERT631,JMD206,Web Scraping,Web Scraping,Data Engineering,http://harris.com/,Reject
CERT634,JMD206,Node,Node,Development,https://clark.info/,Reject
CERT635,JMD206,Next Js,Next Js,Development,http://www.hicks.com/,Reject
CERT637,JMD207,Laravel,Laravel,Development,http://macdonald.org/,Reject
CERT638,JMD207,Next Js,Next Js,Development,https://palmer.info/,Reject
CERT639,JMD208,GCP,GCP,Cloud,http://www.edwards.com/,Reject
CERT640,JMD208,Redis,Redis,Cloud,http://www.rosario-davis.com/,Reject
CERT642,JMD208,Angular,Angular,Development,http://www.baker.com/,Reject
CERT646,JMD209,Python,Python,Data Science,http://www.richardson.org/,Reject
CERT648,JMD210,SnowFlake,SnowFlake,Data Engineering,https://hernandez-rodriguez.com/,Reject
CERT656,JMD212,Azure,Azure,Cloud,https://www.rodriguez-reed.info/,Reject
CERT658,JMD213,MySQL,MySQL,Data Engineering,https://www.lopez.com/,Reject
CERT664,JMD214,GCP,GCP,Cloud,https://gardner-williams.org/,Reject
CERT668,JMD215,Web Scraping,Web Scraping,Data Engineering,http://boyd-eaton.com/,Reject
CERT669,JMD215,Applied ML,Applied ML,Data Science,https://www.campbell.com/,Reject
CERT671,JMD216,Applied ML,Applied ML,Data Science,http://www.davis-johnson.biz/,Reject
CERT672,JMD216,Big Data,Big Data,Data Science,https://lee-cervantes.info/,Reject
CERT673,JMD216,Data Bricks,Data Bricks,Data Engineering,http://lopez-boyer.biz/,Reject
CERT678,JMD218,Azure,Azure,Cloud,https://thompson.biz/,Reject
CERT681,JMD219,Python,Python,Data Science,https://www.gray-yang.com/,Reject
CERT683,JMD219,Reactjs,Reactjs,Development,http://www.harris-cook.com/,Reject
CERT685,JMD220,Next Js,Next Js,Development,http://dickerson.com/,Reject
CERT689,JMD221,Flutter,Flutter,Development,http://www.perry.biz/,Reject
CERT690,JMD222,Applied ML,Applied ML,Data Science,https://www.roy.org/,Reject
CERT693,JMD223,Python,Python,Data Engineering,http://www.norris.net/,Reject
CERT695,JMD223,Next Js,Next Js,Development,https://fields.biz/,Reject
CERT698,JMD224,DBT,DBT,Data Engineering,http://www.lopez.info/,Reject
CERT699,JMD224,Web Scraping,Web Scraping,Data Engineering,http://www.carlson-york.com/,Reject
CERT700,JMD224,Laravel,Laravel,Development,https://www.garza.com/,Reject
CERT703,JMD225,Applied ML,Applied ML,Data Science,https://www.miles.com/,Reject
CERT704,JMD225,Big Data,Big Data,Data Science,https://www.fernandez.com/,Reject
CERT707,JMD227,Redis,Redis,Cloud,http://sutton.biz/,Reject
CERT708,JMD227,Python,Python,Data Engineering,https://williamson-gibbs.info/,Reject
CERT710,JMD228,Web Scraping,Web Scraping,Data Engineering,http://www.ross-velazquez.com/,Reject
CERT711,JMD228,Applied ML,Applied ML,Data Science,https://www.elliott.biz/,Reject
CERT713,JMD228,Big Data,Big Data,Data Science,http://www.perry-valdez.com/,Reject
CERT717,JMD229,Data Bricks,Data Bricks,Data Engineering,http://marks-adkins.com/,Reject
