id,employeeId,assessmentId,courseName,skill,courseDepartment,testScore,status,noOfAttempts
SKS142,JMD15,ASSESS5,AWS,AWS,Cloud,24.0,Reject,1
SKS144,JMD16,ASSESS2,SnowFlake,SnowFlake,Data Engineering,61.0,Reject,1
SKS145,JMD16,ASSESS2,Web Scraping,Web Scraping,Data Engineering,24.0,Reject,2
SKS146,JMD16,ASSESS2,Data Bricks,Data Bricks,Data Engineering,66.0,Reject,2
SKS149,JMD16,ASSESS4,DBT,DBT,Data Engineering,39.0,Reject,3
SKS153,JMD17,ASSESS1,Angular,Angular,Development,60.0,Reject,2
SKS154,JMD17,ASSESS1,Flutter,Flutter,Development,45.0,Reject,3
SKS155,JMD17,ASSESS1,Next Js,Next Js,Development,39.0,Reject,1
SKS157,JMD17,ASSESS2,Reactjs,Reactjs,Development,44.0,Reject,2
SKS159,JMD17,ASSESS4,Azure,Azure,Cloud,34.0,Reject,3
SKS163,JMD17,ASSESS5,Reactjs,Reactjs,Development,2.0,Reject,1
SKS164,JMD18,ASSESS1,Data Bricks,Data Bricks,Data Engineering,59.0,Reject,3
SKS165,JMD18,ASSESS1,DBT,DBT,Data Engineering,66.0,Reject,1
SKS169,JMD18,ASSESS3,Python,Python,Data Science,48.0,Reject,3
SKS170,JMD18,ASSESS3,Applied ML,Applied ML,Data Science,62.0,Reject,2
SKS174,JMD18,ASSESS5,Flutter,Flutter,Development,60.0,Reject,2
SKS175,JMD19,ASSESS1,MySQL,MySQL,Data Engineering,23.0,Reject,3
SKS176,JMD19,ASSESS1,SnowFlake,SnowFlake,Data Engineering,55.0,Reject,1
SKS177,JMD19,ASSESS2,Big Data,Big Data,Data Science,2.0,Reject,2
SKS184,JMD20,ASSESS1,Node,Node,Development,1.0,Reject,2
SKS186,JMD20,ASSESS3,React Native,React Native,Development,25.0,Reject,2
SKS187,JMD20,ASSESS4,GCP,GCP,Cloud,13.0,Reject,3
SKS190,JMD20,ASSESS5,AWS,AWS,Cloud,62.0,Reject,3
SKS191,JMD21,ASSESS1,Data Bricks,Data Bricks,Data Engineering,50.0,Reject,3
SKS192,JMD21,ASSESS2,AWS,AWS,Cloud,4.0,Reject,2
SKS194,JMD21,ASSESS3,Web Scraping,Web Scraping,Data Engineering,37.0,Reject,3
SKS197,JMD21,ASSESS5,Python,Python,Data Engineering,65.0,Reject,1
SKS202,JMD22,ASSESS3,GCP,GCP,Cloud,46.0,Reject,1
SKS207,JMD23,ASSESS1,Big Data,Big Data,Data Science,20.0,Reject,2
SKS208,JMD23,ASSESS2,Azure,Azure,Cloud,35.62128325508607,Reject,1
SKS209,JMD23,ASSESS2,GCP,GCP,Cloud,58.0,Reject,3
SKS212,JMD23,ASSESS4,Azure,Azure,Cloud,54.0,Reject,1
SKS213,JMD23,ASSESS4,GCP,GCP,Cloud,46.0,Reject,1
SKS214,JMD23,ASSESS5,Python,Python,Data Engineering,9.0,Reject,2
SKS215,JMD23,ASSESS5,Data Bricks,Data Bricks,Data Engineering,23.0,Reject,3
SKS218,JMD24,ASSESS3,Flutter,Flutter,Development,61.0,Reject,3
SKS219,JMD24,ASSESS3,Reactjs,Reactjs,Development,23.0,Reject,3
SKS220,JMD24,ASSESS3,Node,Node,Development,17.0,Reject,1
SKS221,JMD24,ASSESS4,Laravel,Laravel,Development,35.0,Reject,1
SKS222,JMD24,ASSESS5,Applied ML,Applied ML,Data Science,40.0,Reject,3
SKS223,JMD25,ASSESS1,Redis,Redis,Cloud,20.0,Reject,3
SKS225,JMD25,ASSESS2,DBT,DBT,Data Engineering,49.0,Reject,1
SKS229,JMD25,ASSESS4,Python,Python,Data Science,65.0,Reject,1
SKS231,JMD26,ASSESS1,GCP,GCP,Cloud,10.0,Reject,1
SKS232,JMD26,ASSESS1,Azure,Azure,Cloud,17.0,Reject,1
SKS233,JMD26,ASSESS2,Azure,Azure,Cloud,57.0,Reject,1
SKS236,JMD26,ASSESS4,MySQL,MySQL,Data Engineering,15.0,Reject,3
SKS237,JMD26,ASSESS4,DBT,DBT,Data Engineering,10.0,Reject,2
SKS238,JMD26,ASSESS5,Node,Node,Development,54.0,Reject,2
SKS239,JMD27,ASSESS1,Flutter,Flutter,Development,55.0,Reject,1
SKS244,JMD27,ASSESS4,GCP,GCP,Cloud,55.0,Reject,1
SKS245,JMD27,ASSESS5,Azure,Azure,Cloud,65.0,Reject,3
SKS246,JMD27,ASSESS5,Redis,Redis,Cloud,6.0,Reject,2
SKS248,JMD28,ASSESS1,React Native,React Native,Development,59.0,Reject,2
SKS249,JMD28,ASSESS1,Node,Node,Development,53.0,Reject,3
SKS255,JMD28,ASSESS4,React Native,React Native,Development,28.0,Reject,2
SKS256,JMD28,ASSESS4,Flutter,Flutter,Development,57.0,Reject,1
SKS257,JMD28,ASSESS5,Big Data,Big Data,Data Science,47.0,Reject,1
SKS263,JMD29,ASSESS3,Next Js,Next Js,Development,16.0,Reject,1
SKS267,JMD29,ASSESS4,Redis,Redis,Cloud,59.0,Reject,2
SKS269,JMD30,ASSESS1,Big Data,Big Data,Data Science,14.0,Reject,2
SKS270,JMD30,ASSESS1,Applied ML,Applied ML,Data Science,27.0,Reject,3
SKS273,JMD30,ASSESS2,AWS,AWS,Cloud,24.0,Reject,1
SKS274,JMD30,ASSESS3,GCP,GCP,Cloud,30.0,Reject,2
SKS275,JMD30,ASSESS4,Big Data,Big Data,Data Science,15.0,Reject,3
SKS276,JMD30,ASSESS4,Applied ML,Applied ML,Data Science,5.0,Reject,1
SKS278,JMD30,ASSESS5,React Native,React Native,Development,1.0,Reject,3
SKS280,JMD31,ASSESS1,AWS,AWS,Cloud,11.0,Reject,1
SKS282,JMD31,ASSESS2,MySQL,MySQL,Data Engineering,40.0,Reject,2
SKS288,JMD32,ASSESS1,Applied ML,Applied ML,Data Science,61.0,Reject,2
SKS289,JMD32,ASSESS1,Python,Python,Data Science,51.0,Reject,3
SKS290,JMD32,ASSESS2,SnowFlake,SnowFlake,Data Engineering,17.0,Reject,1
SKS291,JMD32,ASSESS2,DBT,DBT,Data Engineering,57.0,Reject,1
SKS294,JMD32,ASSESS3,Reactjs,Reactjs,Development,45.0,Reject,2
SKS295,JMD32,ASSESS3,React Native,React Native,Development,62.0,Reject,1
SKS300,JMD32,ASSESS5,GCP,GCP,Cloud,66.0,Reject,2
SKS301,JMD32,ASSESS5,AWS,AWS,Cloud,61.0,Reject,2
SKS302,JMD33,ASSESS1,Azure,Azure,Cloud,60.0,Reject,1
SKS303,JMD33,ASSESS1,AWS,AWS,Cloud,31.0,Reject,1
SKS306,JMD33,ASSESS3,Laravel,Laravel,Development,68.0,Reject,3
SKS307,JMD33,ASSESS3,Angular,Angular,Development,12.0,Reject,2
SKS308,JMD33,ASSESS3,Flutter,Flutter,Development,17.0,Reject,3
SKS309,JMD33,ASSESS4,Laravel,Laravel,Development,22.0,Reject,2
SKS312,JMD34,ASSESS2,AWS,AWS,Cloud,4.0,Reject,1
SKS313,JMD34,ASSESS2,Azure,Azure,Cloud,45.0,Reject,2
SKS314,JMD34,ASSESS2,GCP,GCP,Cloud,43.0,Reject,2
SKS315,JMD34,ASSESS3,Data Bricks,Data Bricks,Data Engineering,32.0,Reject,1
SKS316,JMD34,ASSESS3,SnowFlake,SnowFlake,Data Engineering,35.012455516014235,Reject,1
SKS317,JMD34,ASSESS4,Reactjs,Reactjs,Development,35.75767918088737,Reject,3
SKS318,JMD34,ASSESS5,Flutter,Flutter,Development,20.0,Reject,2
SKS320,JMD35,ASSESS1,GCP,GCP,Cloud,53.0,Reject,3
SKS321,JMD35,ASSESS1,Redis,Redis,Cloud,41.0,Reject,2
SKS323,JMD35,ASSESS2,Reactjs,Reactjs,Development,49.0,Reject,2
SKS324,JMD35,ASSESS3,Azure,Azure,Cloud,17.0,Reject,2
SKS327,JMD35,ASSESS5,DBT,DBT,Data Engineering,64.0,Reject,2
SKS328,JMD36,ASSESS1,Applied ML,Applied ML,Data Science,69.0,Reject,1
SKS331,JMD36,ASSESS2,React Native,React Native,Development,39.0,Reject,3
SKS333,JMD36,ASSESS4,AWS,AWS,Cloud,57.0,Reject,2
SKS336,JMD36,ASSESS5,Applied ML,Applied ML,Data Science,21.0,Reject,1
SKS339,JMD37,ASSESS1,Redis,Redis,Cloud,56.0,Reject,2
SKS341,JMD37,ASSESS2,Flutter,Flutter,Development,61.0,Reject,1
SKS343,JMD37,ASSESS3,Python,Python,Data Science,53.0,Reject,3
SKS346,JMD37,ASSESS4,Next Js,Next Js,Development,67.0,Reject,2
SKS350,JMD38,ASSESS1,Laravel,Laravel,Development,11.0,Reject,2
SKS352,JMD38,ASSESS2,Data Bricks,Data Bricks,Data Engineering,65.0,Reject,1
SKS354,JMD38,ASSESS4,Python,Python,Data Engineering,39.0,Reject,1
SKS355,JMD38,ASSESS4,Web Scraping,Web Scraping,Data Engineering,1.0,Reject,1
SKS359,JMD38,ASSESS5,SnowFlake,SnowFlake,Data Engineering,10.0,Reject,3
SKS361,JMD39,ASSESS1,Data Bricks,Data Bricks,Data Engineering,37.0,Reject,3
SKS362,JMD39,ASSESS1,Web Scraping,Web Scraping,Data Engineering,48.0,Reject,3
SKS363,JMD39,ASSESS2,Applied ML,Applied ML,Data Science,10.0,Reject,3
SKS364,JMD39,ASSESS2,Big Data,Big Data,Data Science,8.0,Reject,2
SKS365,JMD39,ASSESS2,Python,Python,Data Science,37.0,Reject,2
SKS366,JMD39,ASSESS3,Redis,Redis,Cloud,65.0,Reject,3
SKS369,JMD39,ASSESS4,DBT,DBT,Data Engineering,66.0,Reject,1
SKS370,JMD39,ASSESS5,Angular,Angular,Development,54.0,Reject,2
SKS373,JMD40,ASSESS1,GCP,GCP,Cloud,43.0,Reject,1
SKS374,JMD40,ASSESS2,AWS,AWS,Cloud,28.0,Reject,2
SKS375,JMD40,ASSESS3,Big Data,Big Data,Data Science,45.0,Reject,3
SKS378,JMD40,ASSESS4,AWS,AWS,Cloud,9.0,Reject,1
SKS379,JMD40,ASSESS4,Azure,Azure,Cloud,11.0,Reject,3
SKS385,JMD41,ASSESS3,Big Data,Big Data,Data Science,65.0,Reject,1
SKS386,JMD41,ASSESS4,Node,Node,Development,50.0,Reject,3
SKS390,JMD42,ASSESS2,MySQL,MySQL,Data Engineering,66.0,Reject,3
SKS391,JMD42,ASSESS3,Redis,Redis,Cloud,14.0,Reject,1
SKS393,JMD42,ASSESS3,Azure,Azure,Cloud,66.0,Reject,1
SKS394,JMD42,ASSESS4,Python,Python,Data Science,42.0,Reject,2
SKS396,JMD42,ASSESS5,MySQL,MySQL,Data Engineering,16.0,Reject,1
SKS397,JMD43,ASSESS1,Big Data,Big Data,Data Science,31.0,Reject,1
SKS399,JMD43,ASSESS1,Applied ML,Applied ML,Data Science,62.0,Reject,2
SKS401,JMD43,ASSESS3,Big Data,Big Data,Data Science,23.0,Reject,3
SKS405,JMD43,ASSESS4,Node,Node,Development,69.0,Reject,1
SKS406,JMD43,ASSESS4,Laravel,Laravel,Development,36.0,Reject,2
SKS407,JMD43,ASSESS5,Python,Python,Data Science,27.0,Reject,3
SKS409,JMD43,ASSESS5,Applied ML,Applied ML,Data Science,24.0,Reject,1
SKS410,JMD44,ASSESS1,Angular,Angular,Development,40.0,Reject,1
SKS411,JMD44,ASSESS2,Angular,Angular,Development,3.0,Reject,2
SKS417,JMD44,ASSESS4,Big Data,Big Data,Data Science,14.0,Reject,2
SKS419,JMD44,ASSESS5,Applied ML,Applied ML,Data Science,21.0,Reject,3
SKS420,JMD44,ASSESS5,Python,Python,Data Science,5.0,Reject,2
SKS421,JMD45,ASSESS1,Python,Python,Data Science,31.0,Reject,1
SKS422,JMD45,ASSESS1,Big Data,Big Data,Data Science,25.0,Reject,2
SKS425,JMD45,ASSESS3,Flutter,Flutter,Development,41.0,Reject,2
SKS428,JMD45,ASSESS4,Web Scraping,Web Scraping,Data Engineering,21.0,Reject,1
SKS429,JMD45,ASSESS4,MySQL,MySQL,Data Engineering,62.0,Reject,3
SKS431,JMD45,ASSESS5,React Native,React Native,Development,58.0,Reject,2
SKS435,JMD46,ASSESS2,Python,Python,Data Science,62.0,Reject,2
SKS436,JMD46,ASSESS2,Applied ML,Applied ML,Data Science,53.0,Reject,3
SKS439,JMD46,ASSESS4,MySQL,MySQL,Data Engineering,14.0,Reject,3
SKS444,JMD47,ASSESS1,Reactjs,Reactjs,Development,9.0,Reject,3
SKS447,JMD47,ASSESS2,GCP,GCP,Cloud,21.0,Reject,1
SKS452,JMD47,ASSESS5,AWS,AWS,Cloud,21.0,Reject,2
SKS453,JMD48,ASSESS1,SnowFlake,SnowFlake,Data Engineering,1.0,Reject,2
SKS458,JMD48,ASSESS2,Angular,Angular,Development,35.0,Reject,1
SKS461,JMD48,ASSESS4,DBT,DBT,Data Engineering,5.0,Reject,2
SKS462,JMD48,ASSESS4,Data Bricks,Data Bricks,Data Engineering,25.0,Reject,1
SKS463,JMD48,ASSESS5,React Native,React Native,Development,37.0,Reject,1
SKS466,JMD49,ASSESS1,Next Js,Next Js,Development,57.0,Reject,2
SKS467,JMD49,ASSESS1,Angular,Angular,Development,15.0,Reject,1
SKS469,JMD49,ASSESS2,AWS,AWS,Cloud,64.0,Reject,2
SKS470,JMD49,ASSESS3,GCP,GCP,Cloud,39.0,Reject,3
SKS473,JMD49,ASSESS4,Python,Python,Data Science,69.0,Reject,1
SKS474,JMD49,ASSESS5,GCP,GCP,Cloud,7.0,Reject,2
SKS475,JMD49,ASSESS5,Azure,Azure,Cloud,28.0,Reject,2
SKS476,JMD50,ASSESS1,GCP,GCP,Cloud,8.0,Reject,2
SKS481,JMD50,ASSESS3,Big Data,Big Data,Data Science,52.0,Reject,3
SKS483,JMD50,ASSESS4,Laravel,Laravel,Development,34.0,Reject,1
SKS485,JMD50,ASSESS5,Web Scraping,Web Scraping,Data Engineering,52.0,Reject,3
SKS486,JMD51,ASSESS1,Laravel,Laravel,Development,13.0,Reject,3
SKS488,JMD51,ASSESS2,Applied ML,Applied ML,Data Science,3.0,Reject,1
SKS489,JMD51,ASSESS3,Redis,Redis,Cloud,51.0,Reject,1
SKS490,JMD51,ASSESS4,Node,Node,Development,5.0,Reject,2
SKS492,JMD51,ASSESS5,SnowFlake,SnowFlake,Data Engineering,52.0,Reject,1
SKS494,JMD52,ASSESS1,Next Js,Next Js,Development,27.0,Reject,1
SKS499,JMD52,ASSESS2,Flutter,Flutter,Development,59.0,Reject,2
SKS501,JMD52,ASSESS4,Python,Python,Data Science,51.0,Reject,2
SKS502,JMD52,ASSESS5,Python,Python,Data Engineering,7.0,Reject,2
SKS507,JMD53,ASSESS2,Data Bricks,Data Bricks,Data Engineering,36.0,Reject,1
SKS508,JMD53,ASSESS3,Web Scraping,Web Scraping,Data Engineering,50.0,Reject,1
SKS512,JMD53,ASSESS5,MySQL,MySQL,Data Engineering,56.0,Reject,1
SKS513,JMD53,ASSESS5,SnowFlake,SnowFlake,Data Engineering,66.0,Reject,2
SKS517,JMD54,ASSESS4,AWS,AWS,Cloud,14.0,Reject,3
SKS518,JMD54,ASSESS5,Big Data,Big Data,Data Science,52.0,Reject,3
SKS519,JMD54,ASSESS5,Python,Python,Data Science,66.0,Reject,3
SKS522,JMD55,ASSESS2,Next Js,Next Js,Development,38.0,Reject,3
SKS524,JMD55,ASSESS3,Node,Node,Development,65.0,Reject,3
SKS527,JMD55,ASSESS5,React Native,React Native,Development,12.0,Reject,1
SKS528,JMD56,ASSESS1,Python,Python,Data Science,36.0,Reject,2
SKS531,JMD56,ASSESS3,AWS,AWS,Cloud,57.0,Reject,1
SKS532,JMD56,ASSESS3,Azure,Azure,Cloud,26.0,Reject,3
SKS533,JMD56,ASSESS4,Applied ML,Applied ML,Data Science,24.0,Reject,3
SKS534,JMD56,ASSESS4,Python,Python,Data Science,44.0,Reject,3
SKS535,JMD56,ASSESS4,Big Data,Big Data,Data Science,6.0,Reject,2
SKS538,JMD56,ASSESS5,MySQL,MySQL,Data Engineering,29.0,Reject,2
SKS541,JMD57,ASSESS2,Big Data,Big Data,Data Science,15.0,Reject,3
SKS542,JMD57,ASSESS2,Python,Python,Data Science,44.0,Reject,1
SKS544,JMD57,ASSESS4,Azure,Azure,Cloud,53.0,Reject,3
SKS545,JMD57,ASSESS4,GCP,GCP,Cloud,64.0,Reject,2
SKS547,JMD57,ASSESS5,Python,Python,Data Science,4.0,Reject,1
SKS551,JMD58,ASSESS2,Web Scraping,Web Scraping,Data Engineering,28.0,Reject,1
SKS552,JMD58,ASSESS2,Data Bricks,Data Bricks,Data Engineering,42.0,Reject,3
SKS553,JMD58,ASSESS3,Applied ML,Applied ML,Data Science,55.0,Reject,3
SKS554,JMD58,ASSESS3,Python,Python,Data Science,6.0,Reject,3
SKS555,JMD58,ASSESS3,Big Data,Big Data,Data Science,4.0,Reject,3
SKS562,JMD59,ASSESS2,AWS,AWS,Cloud,54.0,Reject,2
SKS563,JMD59,ASSESS2,GCP,GCP,Cloud,56.0,Reject,1
SKS564,JMD59,ASSESS3,React Native,React Native,Development,27.0,Reject,1
SKS565,JMD59,ASSESS3,Angular,Angular,Development,35.75767918088737,Reject,1
SKS566,JMD59,ASSESS4,Data Bricks,Data Bricks,Data Engineering,59.0,Reject,3
SKS568,JMD59,ASSESS5,Big Data,Big Data,Data Science,25.0,Reject,2
SKS570,JMD60,ASSESS1,GCP,GCP,Cloud,24.0,Reject,2
SKS571,JMD60,ASSESS1,Azure,Azure,Cloud,33.0,Reject,2
SKS574,JMD60,ASSESS4,Laravel,Laravel,Development,66.0,Reject,3
SKS581,JMD61,ASSESS2,Node,Node,Development,43.0,Reject,1
SKS584,JMD61,ASSESS4,Applied ML,Applied ML,Data Science,46.0,Reject,1
SKS585,JMD61,ASSESS4,Big Data,Big Data,Data Science,52.0,Reject,2
SKS586,JMD61,ASSESS5,Python,Python,Data Engineering,52.0,Reject,2
SKS589,JMD62,ASSESS2,Flutter,Flutter,Development,69.0,Reject,1
SKS591,JMD62,ASSESS2,Reactjs,Reactjs,Development,7.0,Reject,2
SKS597,JMD62,ASSESS5,Python,Python,Data Engineering,9.0,Reject,2
SKS598,JMD62,ASSESS5,DBT,DBT,Data Engineering,21.0,Reject,3
SKS600,JMD63,ASSESS1,AWS,AWS,Cloud,56.0,Reject,3
SKS602,JMD63,ASSESS2,SnowFlake,SnowFlake,Data Engineering,24.0,Reject,1
SKS603,JMD63,ASSESS2,MySQL,MySQL,Data Engineering,5.0,Reject,1
SKS607,JMD63,ASSESS5,Angular,Angular,Development,36.0,Reject,2
SKS610,JMD64,ASSESS2,Web Scraping,Web Scraping,Data Engineering,37.0,Reject,2
SKS611,JMD64,ASSESS2,Data Bricks,Data Bricks,Data Engineering,46.0,Reject,1
SKS613,JMD64,ASSESS3,GCP,GCP,Cloud,61.0,Reject,1
SKS614,JMD64,ASSESS3,Azure,Azure,Cloud,41.0,Reject,2
SKS615,JMD64,ASSESS4,Node,Node,Development,13.0,Reject,1
SKS616,JMD64,ASSESS4,Flutter,Flutter,Development,52.0,Reject,2
SKS623,JMD65,ASSESS3,SnowFlake,SnowFlake,Data Engineering,50.0,Reject,1
SKS624,JMD65,ASSESS3,MySQL,MySQL,Data Engineering,9.0,Reject,3
SKS626,JMD65,ASSESS5,Python,Python,Data Science,21.0,Reject,3
SKS627,JMD66,ASSESS1,Python,Python,Data Engineering,24.0,Reject,2
SKS630,JMD66,ASSESS2,Redis,Redis,Cloud,15.0,Reject,2
SKS631,JMD66,ASSESS3,Node,Node,Development,2.0,Reject,3
SKS633,JMD66,ASSESS4,Next Js,Next Js,Development,66.0,Reject,1
SKS639,JMD67,ASSESS1,GCP,GCP,Cloud,4.0,Reject,3
SKS641,JMD67,ASSESS2,MySQL,MySQL,Data Engineering,16.0,Reject,2
SKS643,JMD67,ASSESS2,DBT,DBT,Data Engineering,49.0,Reject,2
SKS644,JMD67,ASSESS3,Data Bricks,Data Bricks,Data Engineering,40.0,Reject,1
SKS645,JMD67,ASSESS3,Python,Python,Data Engineering,41.0,Reject,1
SKS648,JMD67,ASSESS4,Python,Python,Data Engineering,67.0,Reject,2
SKS650,JMD67,ASSESS5,Big Data,Big Data,Data Science,65.0,Reject,2
SKS651,JMD68,ASSESS1,Big Data,Big Data,Data Science,58.0,Reject,2
SKS652,JMD68,ASSESS1,Applied ML,Applied ML,Data Science,37.0,Reject,3
SKS657,JMD68,ASSESS3,Python,Python,Data Science,40.0,Reject,2
SKS660,JMD68,ASSESS5,SnowFlake,SnowFlake,Data Engineering,64.0,Reject,1
SKS663,JMD69,ASSESS1,MySQL,MySQL,Data Engineering,19.0,Reject,1
SKS665,JMD69,ASSESS2,Web Scraping,Web Scraping,Data Engineering,21.0,Reject,2
SKS668,JMD69,ASSESS3,Laravel,Laravel,Development,67.0,Reject,3
SKS672,JMD69,ASSESS4,Applied ML,Applied ML,Data Science,47.0,Reject,2
SKS673,JMD69,ASSESS5,GCP,GCP,Cloud,3.0,Reject,1
SKS674,JMD70,ASSESS1,AWS,AWS,Cloud,42.0,Reject,2
SKS675,JMD70,ASSESS1,GCP,GCP,Cloud,40.0,Reject,1
SKS676,JMD70,ASSESS1,Redis,Redis,Cloud,64.0,Reject,2
SKS677,JMD70,ASSESS2,Angular,Angular,Development,54.0,Reject,3
SKS681,JMD70,ASSESS4,Python,Python,Data Science,62.0,Reject,3
SKS683,JMD70,ASSESS5,Redis,Redis,Cloud,63.0,Reject,1
SKS684,JMD71,ASSESS1,Angular,Angular,Development,48.0,Reject,3
SKS685,JMD71,ASSESS1,Laravel,Laravel,Development,55.0,Reject,2
SKS686,JMD71,ASSESS2,Azure,Azure,Cloud,13.0,Reject,2
SKS687,JMD71,ASSESS2,Redis,Redis,Cloud,58.0,Reject,1
SKS692,JMD72,ASSESS1,Web Scraping,Web Scraping,Data Engineering,70.0,Reject,1
SKS694,JMD72,ASSESS2,Next Js,Next Js,Development,66.0,Reject,1
SKS695,JMD72,ASSESS2,Reactjs,Reactjs,Development,52.0,Reject,1
